,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,-8.090750291955828e-15,0.24648157177275123,2.0,0.0,-0.1742887908380392,1.0,0.174288790838023,,,,,,,,
1,fur__wt_dpd,1.7322999349509476,0.11483523440849606,2.0,2.0,1.813500707920342,3.0,1.6510991619815534,,,,,,,,
2,fur__wt_fe,0.35742980872350943,0.09639562043112959,2.0,4.0,0.4255918056070457,5.0,0.2892678118399732,,,,,,,,
3,fur__delfur_dpd,2.222643479970991,0.3678137670398116,2.0,6.0,2.482727088858611,7.0,1.9625598710833712,,,,,,,,
4,fur__delfur_fe2,0.5543929376743779,0.09351846760183351,2.0,8.0,0.488265395066947,9.0,0.6205204802818088,,,,,,,,
5,acid__wt_ph5,2.8050221876019297,0.28090004946093217,2.0,10.0,2.6063958577924677,11.0,3.003648517411391,,,,,,,,
6,acid__delgadx_ph5,1.0739487473620348,,1.0,12.0,1.0739487473620348,,,,,,,,,,
7,acid__delgadw_ph5,1.5676777099212393,0.24801012464847813,2.0,13.0,1.7430473508630993,14.0,1.3923080689793796,,,,,,,,
8,acid__delgade_ph5,2.286067779495962,0.0032471084984808333,2.0,15.0,2.288363831934486,16.0,2.2837717270574376,,,,,,,,
9,oxidative__wt_pq,3.0225620076681468,0.3530003161929455,2.0,17.0,3.272170925009174,18.0,2.77295309032712,,,,,,,,
10,oxidative__deloxyr_pq,1.3285486876063106,0.07468817303815573,2.0,19.0,1.3813612012360248,20.0,1.2757361739765964,,,,,,,,
11,oxidative__delsoxr_pq,4.66149116306395,0.1868357742596017,2.0,21.0,4.529378320116747,22.0,4.7936040060111536,,,,,,,,
12,oxidative__delsoxs_pq,4.861489065566268,0.06287214368973698,2.0,23.0,4.81703174641552,24.0,4.905946384717016,,,,,,,,
13,nac_ntrc__wt_csn,1.9171612224483545,0.050278092281610266,2.0,25.0,1.8816092424509048,26.0,1.952713202445804,,,,,,,,
14,nac_ntrc__wt_cytd,-0.6375309937524334,0.4185364044792988,2.0,27.0,-0.9334809235331812,28.0,-0.3415810639716855,,,,,,,,
