k,name,in_iM,gene_weight,regulator,function,category
199,AscG,False,0.0294664668,AscG+Crp,,Carbon Metabolism
208,SG_cspH,False,0.0264653081,,,Unknown
88,ALE Muts,False,0.0263176513,,,Unknown
60,pdhR KO,False,-0.015514161,,,Carbon Metabolism
207,SG_alaE,False,-0.015123044700000001,,,Unknown
206,AA-related,False,-0.014742469900000001,,,Amino Acid Metabolism
124,ArgP,False,0.0147095889,ArgP,,Amino Acid Metabolism
19,Crp-related,False,-0.0140899653,,,Carbon Metabolism
73,Fnr-2,False,0.013797617600000001,Fnr,,Anaerobiosis
181,GutM+SrlR,False,-0.0136398161,GutM+SrlR,,Carbon Metabolism
204,SG_ydfA,False,-0.0129878686,,,Unknown
61,SG_ydaG,False,-0.012791801600000001,,,Unknown
203,ROS_yedX,False,-0.012354742,,,Unknown
48,Tryptophan,False,-0.0119952431,TrpR/Trp-tRNA/L-tryptophan,,Amino Acid Metabolism
187,entC ALE,False,-0.0108781244,,,Unknown
217,SG_sgrT,False,-0.0107550339,,,Unknown
202,SG_yojO,False,-0.0105504442,,,Unknown
137,LexA,False,-0.0105268826,LexA,,DNA Damage
72,Membrane-2,False,0.0105152574,,,Membrane Homeostasis
26,LPS,False,-0.0102121172,,,Extracellular Structures
174,CCK IS,False,0.0099678699,,,Unknown
175,Hot TALE Mut-2,False,0.009656789800000001,,,Unknown
194,PhoP,False,-0.0096259083,PhoP,,Metal Homeostasis
173,SG_xisR,False,-0.0094522045,,,Unknown
39,DksA-related,False,-0.009426550300000001,,,Stringent Response
141,flhDC,False,0.0092511128,Crp+H-NS+QseB+AcrR+Fur+FliZ+HdfR+IHF+LrhA+OmpR+RcsAB+YjjQ,,Motility
161,Crp-2,False,-0.0091469833,Crp,,Carbon Metabolism
20,Fe-related-1,False,-0.009048276000000001,,,Metal Homeostasis
118,AHAS I,False,0.009011925300000001,,,Amino Acid Metabolism
123,PurR,False,-0.00892835,ppGpp+PurR,,Nucleotide Metabolism
114,LsrR,False,-0.0089245415,RpoS+Crp+LsrR,,Quorum Sensing
146,PaaX,False,0.008873875100000001,IHF+Crp+PaaX,,Carbon Metabolism
144,fur KO,False,-0.0088420115,,,Metal Homeostasis
132,ydcI KO,False,-0.008764533,,,Redox Stress
41,GlcC,False,0.0084490554,IHF+ArcA+PdhR+GlcC,,Carbon Metabolism
75,AtoC,False,-0.0083826818,RpoN+AtoC,,Fatty Acid Metabolism
143,NtrC-2,False,-0.0080866181,NtrC+RpoN,,Nitrogen Metabolism
84,Nac,False,0.008077806,Nac,,Nitrogen Metabolism
115,SG_pinH,False,0.0077563588,,,Unknown
180,NagC,False,-0.0077072392,NagC,,Carbon Metabolism
12,Curli,False,-0.0076619721,BasR+Cra+Crp+CsgD+IHF+MlrA+OmpR+ppGpp+RcdA+CpxR+FliZ+H-NS+MqsA+BtsR+RcsAB+RstA,,Extracellular Structures
57,Hydrogenase 1,False,-0.0076297808,,,Redox Stress
179,SG_ythA,False,0.0074364125000000005,,,Unknown
52,LldR+ArcA,False,0.007428767100000001,ArcA+LldR,,Carbon Metabolism
216,PdeL,False,0.0074238407,,,Unknown
76,ROS Del,False,0.0074125674,,,Redox Stress
135,YgbI,False,-0.007407955700000001,YgbI,,Carbon Metabolism
70,SG_yoaG,False,0.0073806836,,,Unknown
79,Translation,False,-0.007286167400000001,DksA,,Translation
77,Leucine,False,-0.007267937800000001,LeuO+Leu-tRNA+ppGpp,,Amino Acid Metabolism
125,FDH-O,False,-0.007239309100000001,,,Energy Metabolism
56,SG_yqfG,False,0.0071689045,,,Unknown
93,Crp-1,False,0.007108711100000001,Crp,,Carbon Metabolism
82,RcnR,False,0.007085139900000001,RcnR,,Metal Homeostasis
147,ubiC,False,0.0070200024,,,Energy Metabolism
29,SG_ygdT,False,0.0069547042,,,Unknown
53,Thiamine-1,False,0.0069100030000000005,Thiamine diphosphate,,Cofactor Metabolism
145,Glyoxylate,False,-0.0068314539,Cra+IHF+Crp+IclR+ArcA,,Carbon Metabolism
178,gnd KO,False,-0.006826754500000001,,,Carbon Metabolism
126,AllR/AraC/FucR,False,-0.0067947889,FucR/AraC/AllR,,Carbon Metabolism
50,CsqR,False,-0.0066942995000000005,CsqR,,Carbon Metabolism
150,SG_ldrA,False,0.0065718744,,,Unknown
213,SG_ybfQ,False,-0.006568486,,,Unknown
103,Cytochrome c,False,-0.0065107640000000005,,,Energy Metabolism
11,PhoB-1,False,-0.0064734766,PhoB,,Phosphate Metabolism
172,GcvA,False,0.006470499,GcvA,,Amino Acid Metabolism
138,SG_yjiS,False,-0.0063930321,,,Unknown
162,SG_yfiF,False,-0.006360357400000001,,,Unknown
81,Membrane Stress,False,0.0063176784,,,Membrane Homeostasis
130,Fur-2,False,-0.0062823841,Fur,,Metal Homeostasis
30,FhlA,False,0.0062784194000000005,RpoN+FhlA,,Carbon Metabolism
71,Molybdopterin,False,-0.0062641995,Molybdopterin,,Cofactor Metabolism
176,GadEXW,False,-0.0061263089,GadE/GadX/GadW,,Redox Stress
14,Fnr-1,False,-0.006064809,Fnr,,Anaerobiosis
3,Membrane-1,False,0.0060307036,,,Membrane Homeostasis
155,PrpR+Cra,False,0.005910899999999999,RpoN+PrpR+Cra,,Carbon Metabolism
86,KdpE,False,-0.0058135332,KdpE,,Metal Homeostasis
214,SG_ynaM,False,0.0057234352,,,Unknown
21,SG_yfaH,False,0.0056952657,,,Unknown
89,RbsR+dsrA,False,0.0056758573,dsrA+Crp+RbsR,,Carbon Metabolism
54,SG_yoaI,False,-0.0056563611,,,Unknown
25,SG_yafF,False,0.0055353154,,,Unknown
169,sdh KO,False,-0.0054845321,,,Carbon Metabolism
170,GadE+FliZ,False,0.0054094041,GadE+FliZ,,Membrane Homeostasis
128,Single Reads,False,-0.0054047842,,,Unknown
74,Suf System,False,0.0053681866,IHF+IscR+OxyR+ppGpp+Fur+NsrR,,Fe-S Cluster Assembly
168,tpiA ALE,False,0.0053133473,,,Unknown
149,NDH-1,False,0.0052392914,,,Energy Metabolism
200,SG_xisD,False,0.0051418236,,,Unknown
157,FecI,False,0.005110264000000001,FecI,,Metal Homeostasis
43,BaeR+CpxR,False,-0.0050892272,BaeR+CpxR,,Membrane Homeostasis
96,SG_ytiC,False,-0.0050026027,,,Unknown
66,Fnr+NarLP,False,-0.0048482193000000005,Fnr+NarP+NarL,,Nitrogen Metabolism
36,ECA,False,-0.0048419852,,,Extracellular Structures
105,PAL Del-1,False,-0.0047326892,,,Unknown
0,e14 Removal,False,0.004685782800000001,,,Prophage
38,Cytochrome bo3,False,0.004642102,,,Energy Metabolism
139,Cra,False,0.0045898088,Cra,,Carbon Metabolism
177,ppGpp,False,-0.0045741362,ppGpp,,Stringent Response
165,YheO,False,0.0045669192,,,Unknown
28,PlaR,False,-0.0045575601,PlaR+IHF+Crp,,Carbon Metabolism
78,SoxS,False,0.0044150292,SoxS,,Redox Stress
164,RpoH,False,-0.0043732478000000005,RpoH,,Heat Shock
7,SG_yqhI,False,0.0043685176,,,Unknown
189,ExuR/YdfH/RhaRS,False,0.004268364,ExuR/YdfH/RhaR/RhaS,,Carbon Metabolism
