,A,NtrC,RpoN
R2,,0.42910276118060786,0.04762863854940058
xmin,,-5.0016790975,-2.3873792415
xmid,,,-1.6206999654287046
xmax,,2.3228636585,1.0586750145
ystart,,-9.490874997626495,-4.281064020871808
yend,,4.16714909889934,-0.8811391913594515
ecoli_00001,-0.1963578305,-0.0663149515,-0.0046102245
ecoli_00002,0.1963578305,0.0663149515,0.0046102245
ecoli_00003,-2.7226482303,-0.9027221265,0.7030172055
ecoli_00004,-2.8925111178,-0.8100453285,0.8161369585
ecoli_00005,-0.0705832193,0.3333157335,-0.0984432415
ecoli_00006,-0.3347050335,0.1918387795,-0.0146245195
ecoli_00007,-3.2826720209999998,-0.9745198565000001,0.5910067835
ecoli_00008,-3.3984508337,-0.9791649365,0.7714851735
ecoli_00009,-0.7617536673,-0.5153295755,0.1582958355
ecoli_00010,-0.4354113285,-0.6166971005,0.09519432950000001
ecoli_00011,-1.3898274647,-0.030201500500000002,0.1518490055
ecoli_00012,-1.2445357107000001,-0.0418123075,0.22540910150000001
ecoli_00014,-1.3165850509,0.0907959675,0.2189185305
ecoli_00015,-1.3292868286,-0.1128848325,0.1845077045
ecoli_00016,-0.9211260713,-0.1520608205,0.1457626175
ecoli_00017,-1.2479677635,0.0096443935,0.16061627050000002
ecoli_00018,-1.3399121187,0.0527451275,0.23216701250000002
ecoli_00019,-2.7387917447,-0.3496920405,0.4468107435
ecoli_00020,-2.9426528394,-0.2896351935,0.3896680745
ecoli_00021,-3.5116075352,-0.4274229505,0.3630092975
ecoli_00022,-3.7271048762,-0.4273335855,0.36022816350000003
ecoli_00023,-0.9776428675000001,-0.4371913215,0.45338366350000003
ecoli_00024,-1.5176939397,-0.43687249850000004,0.43859741750000003
ecoli_00025,-2.8055836098,-0.1740475125,0.6504048325
ecoli_00026,-2.5742267163,-0.08507181550000001,0.6203968145000001
ecoli_00027,1.9898382863,1.0903374365,0.3878049415
ecoli_00028,1.7122471184,1.1212646785,0.38617062950000003
ecoli_00029,5.3613187692,2.1180870945,0.1780138735
ecoli_00030,5.437085141,2.1021411325,0.14013047450000002
ecoli_00031,6.3703139136,2.2411077535,0.38755840750000004
ecoli_00032,6.2747652155,2.2415717735,0.3112008835
ecoli_00033,1.6897290637,1.3996019745,0.6216542455
ecoli_00034,1.3397013588,1.7068628635,0.8497727805
ecoli_00035,4.8230518876,2.0344093525,0.1636119455
ecoli_00036,5.4094506897,1.9781382805,0.2066971445
ecoli_00037,5.8425645292,2.3228636585,0.3080251985
ecoli_00038,6.1923692454,2.2629229235,0.2967956055
ecoli_00039,-0.7975942929000001,-0.32113175450000003,-0.2040379745
ecoli_00040,-0.0819709613,-0.3399916805,-0.2513449025
ecoli_00041,-0.9324941372000001,-0.8669320615,0.4210455765
ecoli_00042,0.13834218380000002,-0.48445816350000004,0.3409092855
ecoli_00043,-0.6993515552,-0.2871926555,0.26062700850000003
ecoli_00044,-0.8050528034000001,-0.4352825115,0.3284104245
ecoli_00045,-0.7393611283,-0.43369753250000004,0.12483548650000001
ecoli_00046,-0.6788756877000001,-0.39835266150000004,0.1031144385
ecoli_00047,-0.6230979263,-0.7024347035,0.2262561375
ecoli_00048,-0.6649764345,-0.7518494535,0.2539545305
ecoli_00049,1.6207164825,1.8695830555000001,0.3646965855
ecoli_00050,0.30305686930000003,-0.4930106595,0.2962516995
ecoli_00051,-0.4599957405,-0.4107867365,0.4666522205
ecoli_00052,-1.1634101406,0.6424083655,0.08866842550000001
ecoli_00053,-1.034251712,0.6454411235,0.0568323675
ecoli_00054,-0.8453534961,0.4849992675,0.7135937785
ecoli_00055,-0.4016803244,0.3777853725,0.7710917565000001
ecoli_00056,-0.66687226,-1.1329429855,0.2626952735
ecoli_00057,-0.7964318951,-0.9975638155000001,0.2125339715
ecoli_00058,-2.147275968,-1.1282836225,-0.0719943285
ecoli_00059,-2.1547715016,-1.0086983915,-0.1321674075
ecoli_00060,-3.4096946998,-0.21373389750000002,0.08772091650000001
ecoli_00061,-3.450377785,-0.19944722450000002,0.0866318205
ecoli_00062,-2.7649040957,-1.3713202665,0.13049388650000002
ecoli_00063,-1.9221386701,-1.1621855385,0.0750394705
ecoli_00064,-0.4071487676,-0.47424875250000004,0.8458476445
ecoli_00065,-0.1682164932,-0.3623504305,0.7361582905
ecoli_00066,-0.2459544984,-0.3721031905,0.3376980425
ecoli_00067,-0.5783981174,-0.4593646905,0.3812324995
ecoli_00068,-3.6695338163,-2.1838632055,-0.23121805050000002
ecoli_00070,-1.3676481757,-0.9505896595000001,-0.2809332425
ecoli_00071,-1.8279451381,-0.9092726735000001,-0.2902247825
ecoli_00072,-1.8759175888000001,-0.7960748085,-0.2054288275
ecoli_00073,-6.2506346043,-1.3021550305,0.0389202145
ecoli_00074,-8.6390412411,-1.5035946495,0.0609900175
ecoli_00075,-1.1551571203,-0.9953353275000001,0.1072953325
ecoli_00077,-1.1318349423,-1.0402592785,0.0527145325
ecoli_00078,1.7693284068000001,0.16517766650000001,0.1089791855
ecoli_00079,-2.8271006255,-0.5728476695,0.2383428175
ecoli_00080,-1.0279682204,-1.3211906065,0.0018527365
ecoli_00081,-0.964524162,-1.0241365895,-0.3356794605
ecoli_00082,0.8568303502,-1.2950856365,0.1917987605
ecoli_00083,1.2121363003,-1.2142403275,0.1532170935
ecoli_00084,0.7635158917,-0.9904316025000001,0.2657675905
ecoli_00085,1.0135052287,-1.1206215635,0.3237425105
ecoli_00086,-0.9915704757,-1.3056248495,-0.023381640500000002
ecoli_00087,-0.9401691886,-1.2152266735000001,-0.1429831305
ecoli_00088,-0.1236485678,-0.1799304905,0.10736111150000001
ecoli_00089,-0.5525311866,-0.1304773895,0.12499276150000001
ecoli_00090,0.0191976784,-0.2908591135,-0.0261596815
ecoli_00091,-0.0967913314,-0.1417137605,-0.1007299425
ecoli_00092,-0.9405353079000001,1.3949993055,-0.056968540500000005
ecoli_00093,-0.7869995365,1.5035136384999999,0.22376482050000002
ecoli_00094,2.1921536185,-0.9137006765000001,-0.028158271500000002
ecoli_00095,2.9017420111,-0.9558305525,0.0103283685
ecoli_00096,-0.4021838514,1.2908964935,-0.1267133255
ecoli_00097,0.4152621627,1.2412249895,0.023719754500000002
ecoli_00098,1.8414952675,-1.1203196115,-0.013294588500000001
ecoli_00099,1.1809251257,-1.0573056785,-0.0162517615
ecoli_00100,-2.5791737529,-0.2110427685,-0.5141145255
ecoli_00101,0.9828995531,-0.0589953355,-0.2027603775
ecoli_00102,1.2340897768,-0.0306049135,-0.22850633750000002
ecoli_00103,0.0730960657,-1.6649322175,-0.6724268015
ecoli_00104,-0.6252434628,-1.4809584065,-0.5883223085
ecoli_00105,-0.7628871546,-0.3250443155,-0.2614936275
ecoli_00106,0.6222198928,-0.6119121665,-0.4111413085
ecoli_00107,0.3979870962,-0.5592038885,-0.31615505250000003
ecoli_00108,-2.9228666088,-0.5303713995,0.6530569715
ecoli_00109,-5.0924536251,-0.43894030650000004,0.6094381865
ecoli_00110,-0.8227990831,-0.7439360155,0.41063416150000004
ecoli_00111,-0.5483051459,-0.7689202095000001,0.39263840650000004
ecoli_00112,-0.4382868277,-0.8432862455,0.3384137365
ecoli_00113,-2.1761828466,-0.4887759915,0.23901305750000001
ecoli_00114,-1.6300876541,-0.7579041665,0.3881425055
ecoli_00115,-2.0213620775,-0.6376105735,0.5417163865
ecoli_00116,-2.0567352102,-0.2609810955,0.48734105450000004
ecoli_00117,-1.3537749599,-0.2192330835,0.6076043145000001
ecoli_00118,-1.0855741657,-0.2518783275,0.4631423375
ecoli_00119,-2.9407325599,-0.8290001095,0.6373608285
ecoli_00120,-2.3544778422,-0.9082314925,0.6669930295000001
ecoli_00121,-3.2280323363,-0.9650134365,0.5979555295
ecoli_00122,-1.4032969868,-0.8602257135,0.4546922765
ecoli_00123,-1.7287214716000001,-0.9548261575,0.47694144850000003
ecoli_00124,-1.7219591238,-1.0496985455,0.4892179915
ecoli_00125,-6.2588233914,-1.5916900025,-0.1601779305
ecoli_00126,-0.47848807200000004,-0.5818395405,-0.2800279565
ecoli_00127,-0.4651068237,-0.4332083675,-0.6870798615
ecoli_00128,0.1886564722,2.7528500000000002e-05,-0.5723060855000001
ecoli_00129,-5.5310803822,-1.6435674565,0.1635734905
ecoli_00130,-2.6261829402,-0.8641334475,0.0031536635000000003
ecoli_00131,-3.6254593453,-1.1934246325,-0.2871971685
ecoli_00132,-0.4503454774,-0.4924464915,0.0244120205
ecoli_00133,-2.7415964481,-1.0464060355,0.3491200385
ecoli_00134,-1.253578883,-1.0837548765,-0.3153191495
ecoli_00135,-1.1771571551,-0.5191260215,0.09912298550000001
ecoli_00136,-4.8289612975,-0.5096285155,-0.1073433455
ecoli_00137,-2.8542240022,-0.8832038325,-0.2023175995
ecoli_00138,-3.2145848573,-0.5320815265000001,0.8135905605
ecoli_00139,-5.9704705221,-0.6995238575,0.32016739250000004
ecoli_00140,-0.6218368634,-0.15691161750000002,-0.0553719955
ecoli_00141,-8.1074812343,-0.7327512955000001,0.21542995750000002
ecoli_00142,-3.7640028586,-1.8295548605,-0.2178078165
ecoli_00143,-1.2488797801,-0.8193041815000001,-0.2212727485
ecoli_00144,-1.4763297769000001,-0.062033437500000004,-0.2125297985
ecoli_00145,-4.5958596348,-0.3873148295,0.4108722805
ecoli_00146,-2.7413293554,-1.5941472935,-0.7788251875000001
ecoli_00147,-4.2643300051,-1.3149935145,-0.0637925315
ecoli_00148,-0.5713304044,-0.3067341395,0.2370279345
ecoli_00149,-2.6230113252000002,-0.7266657625,-0.3120889155
ecoli_00150,-0.6329982115,-0.3533501385,0.2020547685
ecoli_00151,-5.4482204539,-1.5525453985,-0.1082888095
ecoli_00152,-4.2665099628,-0.8624242375000001,-0.1497820355
ecoli_00153,-3.915766635,-0.10362368050000001,-0.3262490615
ecoli_00154,0.3667153152,-0.4949791975,-0.0901773505
ecoli_00155,-3.8999814555,-0.3927684555,-0.28990390050000003
ecoli_00157,-2.5042228794,-1.0540999095,-0.2741644015
ecoli_00158,-2.1702974741,-1.3081330935,-0.45250245850000004
ecoli_00159,-0.7177798452,-1.1727561105,-1.0410889935
ecoli_00160,-1.632448025,-1.2587677035,-0.8552477355
ecoli_00169,-0.16820118350000002,-1.0288914735,-0.5082379055
ecoli_00170,-0.2379249983,-0.9416034705,-0.4994340875
ecoli_00171,-1.8694261522,-1.2980526275,-0.1040741495
ecoli_00172,-2.4320531327,-1.6928023475,-0.2792215905
ecoli_00173,0.1388127516,-1.5349266995000002,-0.2671002145
ecoli_00174,0.1221793194,-1.9500805105,-0.3823479205
ecoli_00175,1.2243753875,-1.1782060125,0.1386887865
ecoli_00176,0.988150151,-1.2108747475000001,0.12476168450000001
ecoli_00177,-2.1584167319,-1.0765006485,0.3953586515
ecoli_00178,-2.3632337939,-1.2077988325,0.5102487215
ecoli_00179,-0.4984626506,-2.3217179255,-0.2586659055
ecoli_00180,-0.7014430037,-2.3204743805,-0.3374765535
ecoli_00181,-1.2134997499,-1.5529284895000002,-0.8079442385000001
ecoli_00182,-1.5220760988,-1.5606984645000002,-0.8131288585
ecoli_00183,-2.0504313362,-0.5814741805,0.023476880500000002
ecoli_00184,-2.9535363928000002,-0.7310563255,0.012221922500000001
ecoli_00185,-2.1404235997,-1.8022377105,-0.5329956575
ecoli_00186,-2.1562560215,-1.7421548855,-0.5109843565000001
ecoli_00187,-1.4576661331,-1.4826370455,-0.1857659965
ecoli_00188,-1.028598464,-1.3763329745,-0.0851485565
ecoli_00189,-1.4789814435,-1.6094516235,-0.3903549005
ecoli_00190,-1.2356617357,-1.7399843025,-0.3410315705
ecoli_00191,-1.3974832395,-1.9512778935,-0.3768134025
ecoli_00192,-1.2017214957,-2.1287103875,-0.4399327825
ecoli_00193,-1.8985929810000002,-1.5173093635,-0.5177360115
ecoli_00194,-1.6343293629,-1.6751314965000002,-0.49115702850000004
ecoli_00195,-2.0977875916,-1.6508305564999999,-0.7443637615
ecoli_00196,-5.2163501178,-2.0273868685,-0.7433956735
ecoli_00197,-5.073930616,-1.8791966845,-0.7138325825
ecoli_00198,-1.3945064765000001,-1.3519457975,-0.8051262665000001
ecoli_00199,-1.2223676509,-0.9965007585000001,-0.2177005135
ecoli_00200,-0.6057738189,-1.2421250715,-0.1777278635
ecoli_00201,1.8330878695,0.2832668215,0.1175472515
ecoli_00202,0.9350838356000001,-0.4532090945,0.1546335705
ecoli_00203,4.0654753688,1.5657899485,0.0250697845
ecoli_00204,0.5961527,-0.6680544355,-0.1486100975
ecoli_00205,-0.7054803276,-1.3799284305000001,0.08753290150000001
ecoli_00206,-1.2477294765,-1.6361449035,0.23139318550000001
ecoli_00207,-1.709908011,-0.1960486485,0.21411362450000002
ecoli_00208,-2.4462934489,-0.9790222265,0.2065327435
ecoli_00209,-1.830036425,-0.3348788945,-0.1566763185
ecoli_00210,-1.9604872381,-0.49514226650000004,-0.1216764105
ecoli_00211,-0.3008900258,-1.2456083295,-0.2880566235
ecoli_00212,0.1022972362,-1.3366248105,-0.3517970845
ecoli_00213,1.41968031,-0.0447021025,0.08682374550000001
ecoli_00214,-1.1571560916,-1.3242929175,0.11715476650000001
ecoli_00215,-2.0558043554,-0.6822533575,-0.36648127750000004
ecoli_00216,-1.7446226341000002,-0.7889451225,-0.4210866755
ecoli_00217,-1.3912080889,-1.0512743295,-0.08041245350000001
ecoli_00218,-3.697150834,-1.4347729345,0.1485691505
ecoli_00219,-1.6530500677000002,-0.14451927950000001,-0.2860461955
ecoli_00220,-1.5288553003,-0.20162230150000002,-0.2915660545
ecoli_00221,-1.4043424074,-1.4702849345,-0.19775634250000002
ecoli_00222,-0.791825859,-1.5013579485,-0.4303054455
ecoli_00223,-3.0018125889,-1.6439704635,0.0436795175
ecoli_00224,-2.1670086178,-1.6699376865,0.0510243685
ecoli_00225,0.9567413640000001,-0.0961685255,0.0094733505
ecoli_00226,-2.5140437845,-1.1799778765,0.024496082500000002
ecoli_00227,-2.5051390815,-0.9777779675,-0.5196136545
ecoli_00228,-2.2095268621,-0.9353370225000001,-0.6788874785
ecoli_00229,-1.9035674763000001,-1.2486509545,-0.3205594465
ecoli_00230,-1.5805820761,-1.3038047335,-0.42812930250000003
