locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Crp,Mlc,link
b1200,0.30061651980000004,dhaK,dihydroxyacetone kinase subunit K,Carbohydrate transport and metabolism,dhaKLM,"YdcN,YhjB,YgfI,YdhB,YgaV,YeaM,RpoS,DhaR,Lrp,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6627
b1199,0.2934976506,dhaL,dihydroxyacetone kinase subunit L,Function unknown,dhaKLM,"RpoS,DhaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6626
b1198,0.2709844179,dhaM,dihydroxyacetone kinase subunit M,Carbohydrate transport and metabolism,dhaKLM,"RpoS,DhaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12399
b3599,0.20393642150000002,mtlA,mannitol-specific PTS enzyme IICBA component,Carbohydrate transport and metabolism,mtlADR,"RpoD,Fis,Crp,Cra",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10615
b3600,0.1614695991,mtlD,mannitol-1-phosphate 5-dehydrogenase,Carbohydrate transport and metabolism,mtlADR,"RpoD,YfeC,Fis,Crp,Cra",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10616
b2943,0.1600995241,galP,galactose:H(+) symporter,Amino acid transport and metabolism,galP,"RpoD,Crp,OmpR,NagC,GalR,GalS",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b1817,0.1411343908,manX,mannose-specific PTS enzyme IIAB component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Crp,Mlc,Cra,dicF,Hfq,sgrS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10567
b3601,0.1398958011,mtlR,transcriptional repressor MtlR,Transcription,mtlADR,"RpoD,Fis,Crp,Cra",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11965
b1101,0.1396232163,ptsG,glucose-specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,ptsG,"RpoD,sgrS,Crp,ArcA,Mlc,Fis,SoxS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10787
b1818,0.1319665736,manY,mannose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Mlc,Cra,Crp,sgrS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10568
b1819,0.125066366,manZ,mannose-specific PTS enzyme IID component,Carbohydrate transport and metabolism,manXYZ,"RpoD,NagC,Mlc,Cra,Crp,sgrS",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10569
b2416,-0.19632865970000002,ptsI,PTS enzyme I,Carbohydrate transport and metabolism,ptsHI-crr,"RpoD,RpoH,NagC,Crp,Cra,Mlc",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10789
