,-0.08168300022222222,-0.061262250166666664,-0.04084150011111111,-0.020420750055555555,0.0,0.020420750055555548,0.04084150011111111,0.06126225016666667,0.08168300022222222,0.10210375027777777,0.12252450033333331,0.1429452503888889,0.16336600044444444,0.1837867505,0.20420750055555556,0.2246282506111111,0.24504900066666666,0.26546975072222223,0.2858905007777778,0.3063112508333333
thresh,-0.09189337524999999,0.09189337524999999,8,,,,,,,,,,,,,,,,,
unreg,0,2,33,610,2504,505,28,8,1,1,1,0,0,0,0,0,0,0,0,0
Fnr,0,0,0,50,148,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
gcvB,0,0,1,8,34,8,6,1,0,0,1,0,0,0,0,0,0,0,0,0
IHF,0,0,2,22,78,31,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and gcvB,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fnr and IHF,0,0,1,10,48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gcvB and IHF,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fnr, gcvB, and IHF",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['dadA'],['dadX'],[],[],[],[],[],[],[],[],[]
Fnr_genes,[],[],[],"['hlyE' 'hcp' 'fepE' 'uraA' 'narL' 'feoA' 'pykA' 'hyfI' 'hyfB' 'ccmB'
 'hyfF' 'gcvT' 'ompX' 'moaB' 'nrdD' 'citF' 'hmp' 'malP' 'citD' 'arcA'
 'hyfA' 'moaA' 'garR' 'moaC' 'caiD' 'upp' 'ccmC' 'cyoA' 'moaE' 'aceE'
 'aceF' 'gnd' 'ygbA' 'ackA' 'puuA' 'ravA' 'fdnH' 'scpB' 'viaA' 'lpd'
 'entF' 'ybdZ' 'glnK' 'ydhV' 'dpiA' 'moaD' 'xdhA' 'sdhD' 'nikD' 'fdnG']","['malQ' 'cyoB' 'moeA' 'garK' 'narX' 'gcvP' 'glpC' 'ccmG' 'puuP' 'rpsP'
 'rimM' 'bcsZ' 'iraD' 'ortT' 'citE' 'amtB' 'glnD' 'rplM' 'caiC' 'pdhR'
 'citG' 'dcuS' 'sdhA' 'nrdG' 'cyoD' 'yibN' 'trmD' 'fixB' 'citX' 'ccmF'
 'ung' 'moeB' 'hyfC' 'rplT' 'hyfE' 'aspC' 'acnA' 'garL' 'cadC' 'ccmE'
 'gcvH' 'cydA' 'ccmD' 'dpiB' 'dcuR' 'ytfE' 'msrB' 'rplS' 'fes' 'pepT'
 'ccmA' 'cyoE' 'scpC' 'scpA' 'pitA' 'argK' 'acrE' 'hyfD' 'poxB' 'caiT'
 'ccmH' 'citC' 'fdnI' 'gadA' 'uxaC' 'cheZ' 'aldA' 'napH' 'bcsB' 'soxS'
 'cyoC' 'pdeF' 'hyfR' 'napG' 'ybdN' 'rplD' 'tpx' 'ymjE' 'ansB' 'caiB'
 'tar' 'thrA' 'hcr' 'mltA' 'napC' 'rplC' 'acrF' 'napD' 'nikB' 'ydhT'
 'ydfZ' 'cheB' 'yfcZ' 'gapC' 'ydhW' 'ynfK' 'ynfH' 'zwf' 'feoB' 'sdhC'
 'nikC' 'fixA' 'aspA' 'dcuA' 'uxaA' 'purN' 'rpsS' 'rpsI' 'hyfJ' 'xdhB'
 'sdhB' 'nikE' 'rplV' 'iraM' 'dmsD' 'purM' 'rplB' 'nikR' 'garD' 'hyfG'
 'rpsC' 'cheY' 'yffS' 'ydhX' 'yecR' 'rplW' 'feoC' 'ydfO' 'tap' 'dcuB'
 'gadX' 'emrK' 'fumB' 'cydB' 'napA' 'ccp' 'cydC' 'rpsJ' 'fumC' 'aer'
 'ychO' 'ydhY' 'ompW' 'ycaC' 'fdhF' 'cydD' 'garP' 'focB']","['rplP' 'fixC' 'caiE' 'katG' 'rpmC' 'hyfH' 'soxR' 'xdhC' 'rpsQ' 'cheR'
 'ynfE' 'nikA' 'ynfF' 'ydeJ' 'napB' 'caiA' 'grcA' 'glpB' 'caiF' 'fumA'
 'napF' 'nfeR' 'ynfG' 'glpA' 'nac' 'dcuC' 'frdC' 'frdB' 'frdA']",['frdD' 'gadW' 'aroP'],[],[],[],[],[],[],[],[],[],[],[],[],[]
gcvB_genes,[],[],['ygeG'],['yedN' 'ygeF' 'rfbA' 'cysD' 'clpB' 'argT' 'ybfB' 'ilvC'],"['glf' 'wbbH' 'opgB' 'sfmH' 'casD' 'htpG' 'rfbX' 'yhaC' 'ygeI' 'dnaK'
 'gatZ' 'gltI' 'ymgG' 'yibG' 'wbbJ' 'asnB' 'yafU' 'phoP' 'ypjC' 'lon'
 'oppA' 'ibpA' 'adeQ' 'hdeB' 'fimZ' 'ygeN' 'yebB' 'groS' 'lrp' 'phoQ'
 'inaA' 'srlD' 'srlB' 'yhiL']",['livK' 'yjbM' 'panD' 'ilvB' 'slp' 'oppF' 'asnA' 'nlpA'],['oppD' 'serA' 'yifK' 'livJ' 'oppB' 'oppC'],['cycA'],[],[],['sstT'],[],[],[],[],[],[],[],[],[]
