,A,flhD
R2,,0.5535571686730493
xmin,,-4.8555074220000005
xmid,,0.10786794111832379
xmax,,3.101601013
ystart,,-1.535882708804336
yend,,33.04474815374112
control__wt_glc__1,-0.0792627999,-0.12659477300000002
control__wt_glc__2,0.0792627999,0.12659477300000002
fur__wt_dpd__1,-3.9358332064,-1.767465609
fur__wt_dpd__2,-3.6125114207999998,-1.880887454
fur__wt_fe__1,-6.4143110012,-0.301989067
fur__wt_fe__2,-6.2970702342,-0.276890647
fur__delfur_dpd__1,-4.5752587879,-2.018074196
fur__delfur_dpd__2,-4.7049640767,-1.910472906
fur__delfur_fe2__1,-1.9093778296,0.13425278300000001
fur__delfur_fe2__2,-2.9921687868,0.121330005
acid__wt_ph5__1,-4.6268573932,-0.7547466570000001
acid__wt_ph5__2,-3.9434137559,-0.7751480550000001
acid__delgadx_ph5__2,-4.6701790342,-0.668438976
acid__delgadw_ph5__1,-3.9527634763,-1.057638203
acid__delgadw_ph5__2,-4.2811357804,-0.7929399760000001
acid__delgade_ph5__1,-4.4891410304,-0.675653637
acid__delgade_ph5__2,-4.5123236907,-0.8510678880000001
oxidative__wt_pq__1,-5.0578684897,-1.956612878
oxidative__wt_pq__2,-4.7672016841,-2.460791912
oxidative__deloxyr_pq__1,-4.5888723437,-1.464179796
oxidative__deloxyr_pq__2,-4.1448408246,-1.811936766
oxidative__delsoxr_pq__1,-5.3933409921,-1.304104916
oxidative__delsoxr_pq__2,-4.182543871,-1.859776541
oxidative__delsoxs_pq__1,-4.7528436749,-1.996021893
oxidative__delsoxs_pq__2,-5.2712099182,-1.403336773
nac_ntrc__wt_csn__1,-4.2273059173,-0.912579389
nac_ntrc__wt_csn__2,-4.7174767422,-0.8109859920000001
nac_ntrc__wt_cytd__1,-6.4591026534000004,-0.728730195
nac_ntrc__wt_cytd__2,-6.3312922466,-0.8302642440000001
nac_ntrc__wt_gln__1,-6.4854389295,-0.287646832
nac_ntrc__wt_gln__2,-6.1073263084,-0.7679582970000001
nac_ntrc__bw_delnac_csn__1,-2.6372500044000002,-1.114148526
nac_ntrc__bw_delnac_csn__2,-3.5508792222,-1.174369788
nac_ntrc__bw_delnac_cytd__1,-5.245467827,0.113220678
nac_ntrc__bw_delnac_cytd__2,-5.3269641572,-0.35367678900000005
