,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A
0,control__wt_glc,0.0,0.12654862487649185,2.0,0.0,-0.0894833908,1.0,0.0894833908,,,,,,,,
1,fur__wt_dpd,-5.28194438255,1.038154478193775,2.0,2.0,-4.5478583111,3.0,-6.016030454,,,,,,,,
2,fur__wt_fe,-0.68116176475,0.026076680553195643,2.0,4.0,-0.6627227671,5.0,-0.6996007624,,,,,,,,
3,fur__delfur_dpd,-5.52943697575,1.8189744548789368,2.0,6.0,-4.2432278039,7.0,-6.8156461476,,,,,,,,
4,fur__delfur_fe2,-0.80927810675,0.3871352883798478,2.0,8.0,-1.0830240944,9.0,-0.5355321191,,,,,,,,
5,acid__wt_ph5,-2.9857913816500004,0.1738140853970618,2.0,10.0,-2.8628862632,11.0,-3.1086965001,,,,,,,,
6,acid__delgadx_ph5,-5.6169048345,,1.0,12.0,-5.6169048345,,,,,,,,,,
7,acid__delgadw_ph5,-3.1453089344,0.1290130590275488,2.0,13.0,-3.0540829255,14.0,-3.2365349433,,,,,,,,
8,acid__delgade_ph5,-2.5446984593,0.025353527044270116,2.0,15.0,-2.5626261102,16.0,-2.5267708084000002,,,,,,,,
9,oxidative__wt_pq,-7.52348998515,0.34408367551182056,2.0,17.0,-7.7667938854,18.0,-7.2801860849,,,,,,,,
10,oxidative__deloxyr_pq,-7.3448771031,0.5785644893880181,2.0,19.0,-6.9357702293,20.0,-7.7539839769,,,,,,,,
11,oxidative__delsoxr_pq,-6.9757550963499995,0.15411920228954745,2.0,21.0,-7.0847338294,22.0,-6.8667763633,,,,,,,,
12,oxidative__delsoxs_pq,-7.9912661070999995,0.5363146851224329,2.0,23.0,-7.6120343564,24.0,-8.3704978578,,,,,,,,
13,nac_ntrc__wt_csn,-1.6421020137,0.22969786179599724,2.0,25.0,-1.479681098,26.0,-1.8045229294,,,,,,,,
14,nac_ntrc__wt_cytd,-0.58419280615,0.3947285932990712,2.0,27.0,-0.8633080712000001,28.0,-0.3050775411,,,,,,,,
15,nac_ntrc__wt_gln,0.57465741155,0.07046516618945407,2.0,29.0,0.5248310147,30.0,0.6244838084000001,,,,,,,,
16,nac_ntrc__bw_delnac_csn,-6.23870864785,2.0597399247197443,2.0,31.0,-4.7822525796,32.0,-7.6951647161,,,,,,,,
17,nac_ntrc__bw_delnac_cytd,-1.9709424325,0.26153957113757387,2.0,33.0,-1.7860060282,34.0,-2.1558788368,,,,,,,,
18,nac_ntrc__bw_delnac_gln,-2.4011610763,0.6965146597428356,2.0,35.0,-2.8936713153999998,36.0,-1.9086508372000002,,,,,,,,
19,nac_ntrc__bw_delnac_nh4,-1.8167209751,0.5163388321454639,2.0,37.0,-1.4516142855,38.0,-2.1818276647,,,,,,,,
20,misc__wt_no_te,-6.207047214899999,1.314581029247361,2.0,39.0,-5.2774980547,40.0,-7.1365963751,,,,,,,,
21,misc__bw_delcbl,-7.603427246699999,0.7002601975745557,2.0,41.0,-7.1082685124,42.0,-8.098585981,,,,,,,,
22,misc__bw_delfabr,-7.76732787025,1.539597125095017,2.0,43.0,-8.8559874377,44.0,-6.6786683028,,,,,,,,
23,misc__bw_delfadr,-5.7505861306499995,0.014157889184998305,2.0,45.0,-5.7605972701,46.0,-5.7405749912,,,,,,,,
24,misc__nitr_031,-8.213389344,,1.0,47.0,-8.213389344,,,,,,,,,,
25,omics__wt_glu,0.15806059285000001,0.4486005758815014,2.0,48.0,0.4752691021,49.0,-0.1591479164,,,,,,,,
26,omics__wt_gly,-2.210985759,0.39749199962183485,2.0,50.0,-1.9299164706,51.0,-2.4920550474,,,,,,,,
27,omics__wt_thr,-2.48092754325,0.15154600719594746,2.0,52.0,-2.3737683339,53.0,-2.5880867525999998,,,,,,,,
28,omics__bw_ac,-0.823095004,0.10108099653642492,2.0,54.0,-0.8945700621,55.0,-0.7516199459,,,,,,,,
29,omics__bw_fum,-0.9895985561,0.4841383685014969,2.0,56.0,-1.3319360795000001,57.0,-0.6472610327,,,,,,,,
30,omics__bw_glc,-0.7179302382000001,0.14543218016865544,2.0,58.0,-0.8207663190000001,59.0,-0.6150941574000001,,,,,,,,
31,omics__bw_pyr,-0.08513497640000002,0.46084270193702326,2.0,60.0,-0.41099997600000004,61.0,0.2407300232,,,,,,,,
32,ompr__wt_nacl,-6.3730069163,0.8523983383225213,2.0,62.0,-6.9757435616,63.0,-5.770270271,,,,,,,,
33,ompr__bw_delompr_nacl,-7.02009854805,0.3361109335582784,2.0,64.0,-6.7824322277,65.0,-7.2577648684,,,,,,,,
34,minspan__wt_ade,0.0928122588,,1.0,66.0,0.0928122588,,,,,,,,,,
35,minspan__wt_glc,-1.7442152204333334,0.4228287907564103,3.0,67.0,-1.8944349102,68.0,-1.2667874417,69.0,-2.0714233094,,,,,,
36,minspan__wt_glc_anaero,-3.3876548586,2.5995709802351,2.0,70.0,-1.5494805903,71.0,-5.2258291269,,,,,,,,
37,minspan__wt_trp,-0.9282828850000001,,1.0,72.0,-0.9282828850000001,,,,,,,,,,
38,minspan__bw_delcra_glc,0.4996136957,,1.0,73.0,0.4996136957,,,,,,,,,,
39,minspan__bw_delcra_trp,-0.5389805378,,1.0,74.0,-0.5389805378,,,,,,,,,,
40,minspan__bw_delmntr,-2.2298398556,,1.0,75.0,-2.2298398556,,,,,,,,,,
41,minspan__bw_delnac_ade,-1.8511520844,,1.0,76.0,-1.8511520844,,,,,,,,,,
42,minspan__bw_delnac_glc,0.3071650358,,1.0,77.0,0.3071650358,,,,,,,,,,
43,cra_crp__wt_ac,-1.850078804,0.4235824910311272,2.0,78.0,-1.5505607522,79.0,-2.1495968558,,,,,,,,
44,cra_crp__wt_fru,-1.57641939185,0.6178683399371023,2.0,80.0,-2.0133182849,81.0,-1.1395204988,,,,,,,,
45,cra_crp__delcra_ac,-3.1007199351,0.14813565162567116,2.0,82.0,-3.2054676589,83.0,-2.9959722113,,,,,,,,
46,cra_crp__delcra_fru,-2.4152497247999998,0.7283828433037216,2.0,84.0,-1.900205277,85.0,-2.9302941726,,,,,,,,
47,cra_crp__delcra_glc,-2.4934908399499998,0.49978303709233807,2.0,86.0,-2.8468908146,87.0,-2.1400908653,,,,,,,,
48,rpoB__wt_031,-3.1632378652,,1.0,88.0,-3.1632378652,,,,,,,,,,
49,rpoB__wt_044,-3.0980496617,,1.0,89.0,-3.0980496617,,,,,,,,,,
50,rpoB__wt_lb,-7.5404235511,0.8928637170479048,2.0,90.0,-6.9090735621,91.0,-8.1717735401,,,,,,,,
51,rpoB__rpoBE546V_031,-3.004047099,,1.0,92.0,-3.004047099,,,,,,,,,,
