,39
ecoli_00001,-0.1733492432
ecoli_00002,0.1733492432
ecoli_00003,-1.8912167577
ecoli_00004,-1.6119465312
ecoli_00005,-0.652521941
ecoli_00006,-0.9960767677000001
ecoli_00007,-1.226140846
ecoli_00008,-1.6267460974999999
ecoli_00009,-1.5690519358000001
ecoli_00010,-1.5575572726
ecoli_00011,-1.3791096899
ecoli_00012,-1.4321748287
ecoli_00014,-1.5922533557
ecoli_00015,-1.7603673952
ecoli_00016,-1.9575928834
ecoli_00017,-1.8442722847000002
ecoli_00018,-1.9519223036
ecoli_00019,-2.0498174728
ecoli_00020,-1.3107873999000001
ecoli_00021,0.056340029400000005
ecoli_00022,-0.0020775990000000003
ecoli_00023,-2.4848194546
ecoli_00024,-2.3036750442000002
ecoli_00025,-2.036286114
ecoli_00026,-1.5779968206000001
ecoli_00027,-2.7344594462
ecoli_00028,-2.2463481605
ecoli_00029,-2.4378020102
ecoli_00030,-2.1684607303
ecoli_00031,-3.6128110895
ecoli_00032,-3.6294225811
ecoli_00033,-1.2053997133
ecoli_00034,-2.3039273733
ecoli_00035,-2.3590821378999998
ecoli_00036,-2.6148043506
ecoli_00037,-2.2501729531
ecoli_00038,-1.9624772175
ecoli_00039,-0.143783878
ecoli_00040,-0.3227038212
ecoli_00041,-1.320954273
ecoli_00042,-1.1437379844
ecoli_00043,-1.9603797318
ecoli_00044,-2.0038118388
ecoli_00045,-1.8166109786
ecoli_00046,-2.0506305166
ecoli_00047,-2.3504897266
ecoli_00048,-2.0092605641
ecoli_00049,-2.5821512046
ecoli_00050,-3.4504477614
ecoli_00051,-3.6882122765
ecoli_00052,-0.24779608090000002
ecoli_00053,-0.9615484486
ecoli_00054,-4.5857050733
ecoli_00055,-5.2088030657
ecoli_00056,-2.611986205
ecoli_00057,-1.8882955368
ecoli_00058,-0.039402847500000004
ecoli_00059,-0.4310751329
ecoli_00060,-0.1657043771
ecoli_00061,-0.2684162731
ecoli_00062,0.022856272
ecoli_00063,-0.5917609415
ecoli_00064,0.2800791214
ecoli_00065,0.6066884487
ecoli_00066,0.8705774385
ecoli_00067,1.0130141413
ecoli_00068,2.9729303910000002
ecoli_00070,-0.2184782496
ecoli_00071,0.5134917401
ecoli_00072,0.0201504584
ecoli_00073,0.13131452470000002
ecoli_00074,0.3205179378
ecoli_00075,-0.4720842022
ecoli_00077,-0.1108728934
ecoli_00078,2.7735779212000002
ecoli_00079,-1.8579350662
ecoli_00080,2.3989280641
ecoli_00081,-1.0024447652
ecoli_00082,-3.6371863529
ecoli_00083,-3.9008151992
ecoli_00084,-3.7625183588
ecoli_00085,-3.6093137683
ecoli_00086,-4.7298068737
ecoli_00087,-4.496867746
ecoli_00088,-1.5791923393
ecoli_00089,-1.7192128266000002
ecoli_00090,-0.9037677189000001
ecoli_00091,-0.9185776975000001
ecoli_00092,-0.9771992285000001
ecoli_00093,-0.6182264675
ecoli_00094,-0.9343022084
ecoli_00095,-1.3788139990000001
ecoli_00096,7.4719810203
ecoli_00097,8.2736847593
ecoli_00098,9.4444037058
ecoli_00099,9.870524401800001
ecoli_00100,8.9185917396
ecoli_00101,14.9515919092
ecoli_00102,15.731756492
ecoli_00103,16.0330570215
ecoli_00104,15.920419827
ecoli_00105,0.1691317232
ecoli_00106,0.11695945860000001
ecoli_00107,0.2535340654
ecoli_00108,-5.2132984408
ecoli_00109,-5.1846647415
ecoli_00110,-2.0118578644
ecoli_00111,-2.0777474561
ecoli_00112,-1.0901783844
ecoli_00113,-2.8755317823
ecoli_00114,-2.8731278403
ecoli_00115,-2.7183736042
ecoli_00116,-1.8485318612000001
ecoli_00117,-1.6608752921
ecoli_00118,-1.8364280430000002
ecoli_00119,-1.4219124189
ecoli_00120,-1.8561514621000001
ecoli_00121,-1.7205313589
ecoli_00122,-1.353903882
ecoli_00123,-2.0443321413
ecoli_00124,-1.4667247063
ecoli_00125,7.9485653482
ecoli_00126,6.6767459529
ecoli_00127,6.9199327176
ecoli_00128,9.9120845373
ecoli_00129,1.9987563676
ecoli_00130,7.4534003705
ecoli_00131,7.638674594
ecoli_00132,-1.7030437572000001
ecoli_00133,2.089937679
ecoli_00134,-0.07028966390000001
ecoli_00135,-1.237947143
ecoli_00136,-3.87006855
ecoli_00137,1.9323789436
ecoli_00138,1.4814199385
ecoli_00139,-3.723496497
ecoli_00140,0.2656189587
ecoli_00141,-3.4521616019
ecoli_00142,-0.5915044762
ecoli_00143,-0.4495455909
ecoli_00144,3.1389719139
ecoli_00145,3.9596274284
ecoli_00146,10.392460055899999
ecoli_00147,8.8278349925
ecoli_00148,9.9230299894
ecoli_00149,3.4599844661
ecoli_00150,11.0266807631
ecoli_00151,8.0905555235
ecoli_00152,9.1003193922
ecoli_00153,-0.0424930137
ecoli_00154,4.3558842107
ecoli_00155,3.3982060226
ecoli_00157,3.6059724793
ecoli_00158,2.5531703686
ecoli_00159,5.050670366
ecoli_00160,5.2016415265
ecoli_00169,1.1968527755
ecoli_00170,1.3519573536
ecoli_00171,0.4150504498
ecoli_00172,-0.0786176269
ecoli_00173,-1.9331695557000002
ecoli_00174,-1.0550054411
ecoli_00175,-4.0411672445
ecoli_00176,-4.1351630359
ecoli_00177,2.0913954695
ecoli_00178,1.7173850412
ecoli_00179,0.4754634467
ecoli_00180,0.5472182453000001
ecoli_00181,1.9686527855
ecoli_00182,1.9391153428
ecoli_00183,-0.8250923805
ecoli_00184,-1.142069265
ecoli_00185,1.1927248445
ecoli_00186,1.7322611391
ecoli_00187,-1.2019165066
ecoli_00188,-0.710552669
ecoli_00189,1.5095156091000002
ecoli_00190,0.9621457479000001
ecoli_00191,-0.4098847531
ecoli_00192,-0.16067302
ecoli_00193,-0.2651764001
ecoli_00194,-0.0843832931
ecoli_00195,2.1679036339
ecoli_00196,2.1661324803
ecoli_00197,2.0079903436
ecoli_00198,2.2043482735
ecoli_00199,-3.0808341351
ecoli_00200,-4.9870616273
ecoli_00201,-1.5677490749
ecoli_00202,-1.3843270746
ecoli_00203,0.3162454657
ecoli_00204,0.1849448545
ecoli_00205,-2.5229222054
ecoli_00206,-2.9806209885
ecoli_00207,-2.5459595118
ecoli_00208,-1.8995290827
ecoli_00209,-2.2678966018
ecoli_00210,-2.5535173752
ecoli_00211,-1.0813415992
ecoli_00212,-0.3350926979
ecoli_00213,-2.8843650697000003
ecoli_00214,-2.0767242489
ecoli_00215,-0.4026129795
ecoli_00216,-0.1364267673
ecoli_00217,-4.1122909675
ecoli_00218,-3.6069423197
ecoli_00219,-1.6917064997
ecoli_00220,-2.2835241225000003
ecoli_00221,-0.6361916063
ecoli_00222,0.076212869
ecoli_00223,-1.5036483102
ecoli_00224,-1.2735131231999999
ecoli_00225,-1.9803696069
ecoli_00226,-1.3133081811
ecoli_00227,0.0214276019
ecoli_00228,-0.3867349818
ecoli_00229,-1.2768073412
ecoli_00230,-1.3667206159
ecoli_00231,-1.7769256542
ecoli_00232,-1.9728206357
ecoli_00233,-1.8640628235
ecoli_00234,-2.7164569581
ecoli_00235,-1.7999998609
ecoli_00236,-2.7983751924
ecoli_00237,-0.4690729274
ecoli_00238,-0.6307421456
ecoli_00239,-0.6599958582000001
ecoli_00240,-0.6509768913
ecoli_00241,-1.0081189007
ecoli_00242,5.0390920179
ecoli_00243,5.502622982
ecoli_00244,1.0183963205
ecoli_00245,1.0058262803
ecoli_00246,-1.3382640241
ecoli_00247,-0.5220974707
ecoli_00248,0.77572864
ecoli_00249,-0.3058147309
ecoli_00250,0.26470655860000003
ecoli_00251,2.2206633206
ecoli_00252,2.0788926029
ecoli_00253,1.6346033786
ecoli_00254,0.8399017258
ecoli_00255,-2.1531348847
ecoli_00256,-1.6717622943000001
ecoli_00257,-2.7359210418
ecoli_00258,-3.3455763659
ecoli_00259,-1.6018118246
ecoli_00260,-1.4218220171
ecoli_00261,-3.4749423276
ecoli_00262,-2.1387111201
ecoli_00263,-1.9854200242000002
ecoli_00264,-2.1044281332
ecoli_00265,-2.8028151551000002
ecoli_00266,-2.7257360251
ecoli_00267,7.9115255216
ecoli_00268,8.0322571755
ecoli_00269,5.5422442228
ecoli_00270,4.7185611886
ecoli_00271,8.2802831052
ecoli_00272,8.5241842244
ecoli_00273,-0.5929731792
ecoli_00274,-0.543851563
ecoli_00275,-1.3404333222
ecoli_00276,-1.4737640266
ecoli_00277,-1.7708695357000002
ecoli_00278,-1.4179007872
ecoli_00279,0.3653096675
ecoli_00280,0.49023767570000004
ecoli_00281,1.0006032469
ecoli_00282,-0.451708129
ecoli_00283,-0.621865438
ecoli_00284,-1.0000485831
ecoli_00285,2.0044977749
ecoli_00286,1.9823457616
ecoli_00287,-0.964893218
ecoli_00288,-0.969932729
ecoli_00289,-1.0111975217
ecoli_00290,-0.48637523650000003
ecoli_00291,-0.6739516235
ecoli_00292,-1.2959802905
ecoli_00293,-1.1661497821
ecoli_00294,-0.9299422739000001
ecoli_00295,-0.8533135005
ecoli_00296,-0.9905212011000001
ecoli_00297,-0.7886936897
ecoli_00298,-1.2290318786
ecoli_00299,-0.2911072135
ecoli_00300,-0.16861654080000002
ecoli_00301,6.7076702384
ecoli_00302,5.4540125292
ecoli_00303,-1.4149141117
ecoli_00304,-1.4751376348
ecoli_00305,-0.1581670402
ecoli_00306,0.12856809630000002
ecoli_00307,-0.7729788825
ecoli_00308,-0.7564074794000001
ecoli_00309,0.3084971822
ecoli_00310,-0.013861807
ecoli_00311,9.7887375688
ecoli_00312,9.0677558202
ecoli_00313,-1.6833188477
ecoli_00314,-1.8575498636
ecoli_00315,0.2692334111
ecoli_00316,0.8645332651000001
ecoli_00317,0.5038747179
ecoli_00318,1.3789985018
ecoli_00319,6.2536163366
ecoli_00320,6.0904667806
ecoli_00321,9.3608352731
ecoli_00322,9.3826507498
ecoli_00323,0.3376251109
ecoli_00324,-0.027436316000000002
ecoli_00325,-0.1396006819
ecoli_00326,-0.5989064267
ecoli_00327,7.5720728426
ecoli_00328,7.6203719547
ecoli_00329,6.4754797379
ecoli_00330,5.8196247273
ecoli_00331,4.8557357037
ecoli_00332,4.8988560386
ecoli_00333,5.0669175675
ecoli_00334,6.4442803943
ecoli_00335,-0.3055973106
ecoli_00336,0.1976392918
ecoli_00337,-3.1727491476
ecoli_00338,-2.8194778173
ecoli_00339,-0.1495907238
ecoli_00340,-1.7213189068
ecoli_00341,0.1596496684
ecoli_00342,0.0797008157
ecoli_00343,-3.4605370932
ecoli_00344,-3.2871855011
ecoli_00345,-3.0901281324
ecoli_00346,-2.8901645263
ecoli_00347,-0.024493569200000002
ecoli_00348,-0.6169027148
ecoli_00349,8.1161236272
ecoli_00350,8.7132769133
ecoli_00351,13.6345482173
ecoli_00352,11.4988472519
ecoli_00353,7.4199626615
ecoli_00354,7.438485695
ecoli_00355,-0.3345945201
ecoli_00356,-0.8144513455
ecoli_00357,7.0674570431
ecoli_00358,7.4662998249
ecoli_00359,-2.8449005306
ecoli_00360,-2.8812761011
ecoli_00361,4.5815820035
ecoli_00362,4.6766122984
ecoli_00363,4.6409344409
ecoli_00364,3.1764198742
ecoli_00365,3.5343901711
ecoli_00366,3.4099584841
ecoli_00367,12.7603370679
ecoli_00368,13.2314613137
ecoli_00369,3.4799756668
ecoli_00370,5.8677835821
ecoli_00371,6.6184813717
ecoli_00372,4.6825723471
ecoli_00373,14.4793536444
ecoli_00374,14.9846751931
ecoli_00375,8.4436292121
ecoli_00376,8.2167900487
ecoli_00377,12.4395354723
ecoli_00378,13.3789842582
ecoli_00379,12.1873973453
ecoli_00380,12.618809711499999
ecoli_00381,8.0540534087
ecoli_00382,8.3366594005
ecoli_00383,11.4508469326
ecoli_00384,11.477922252900001
ecoli_00385,12.0205085273
ecoli_00386,12.773246315
ecoli_00387,8.3252323172
ecoli_00388,8.5310334336
ecoli_00389,14.6085792679
ecoli_00390,15.1643461704
ecoli_00391,13.5927858646
ecoli_00392,13.4129371805
ecoli_00393,4.0329979828
ecoli_00394,3.8527246064
ecoli_00395,-0.3582211782
ecoli_00396,0.0148992177
ecoli_00397,-3.5511025652
ecoli_00398,-4.1664583088
ecoli_00399,2.2777012437
ecoli_00400,1.9799151574
ecoli_00401,-0.8810799629
ecoli_00402,1.0365339456
ecoli_00403,0.2158077287
ecoli_00404,-1.8961832506
ecoli_00405,2.570540049
ecoli_00406,2.9698271488
ecoli_00407,1.3107858982
ecoli_00408,0.8665624694
ecoli_00409,-1.2786782433
ecoli_00410,-0.0771372905
ecoli_00411,3.7444491688
ecoli_00412,3.8825431419000003
ecoli_00413,1.3202028444
ecoli_00414,1.1655167411
ecoli_00415,-1.947259161
ecoli_00416,-1.9457996293000002
ecoli_00417,5.2298948
ecoli_00418,5.9280419863
ecoli_00419,2.953704334
ecoli_00420,3.0190946915
ecoli_00421,-0.6863231682000001
ecoli_00422,-0.1193595954
ecoli_00423,3.9007653916000002
ecoli_00424,4.06255861
ecoli_00425,4.8114595315
ecoli_00426,3.9323705801
ecoli_00427,2.1148789856
ecoli_00428,2.0810723485000002
ecoli_00429,1.1104840585
ecoli_00430,0.867048051
ecoli_00431,0.5612539678
ecoli_00432,-2.1192175764
ecoli_00433,-1.8626207635
ecoli_00434,-2.1461787454
ecoli_00435,2.4086631035
ecoli_00436,2.6910703176
ecoli_00437,0.28510558820000004
ecoli_00438,0.2739963729
ecoli_00439,-1.7116053227
ecoli_00440,-2.4655655033
