,A,CsqR
R2,,0.8431858449708587
xmin,,-2.176858884
xmid,,1.0049567217559725
xmax,,4.897041648
ystart,,1.028363357738331
yend,,34.180000520159766
ecoli_00001,0.15744408810000002,-0.14325094200000002
ecoli_00002,-0.15744408810000002,0.14325094200000002
ecoli_00003,0.2221709757,-0.35162516
ecoli_00004,0.5369425886,-0.47287174800000004
ecoli_00005,0.26729720700000004,-0.326968085
ecoli_00006,0.5644027449,-0.19987058700000002
ecoli_00007,0.1820545401,-0.554660382
ecoli_00008,0.022296663600000002,-0.7290076480000001
ecoli_00009,0.8549973158,0.0974623
ecoli_00010,0.6931698336000001,0.094354609
ecoli_00011,-0.6719153694000001,-0.035860787000000005
ecoli_00012,0.10280283400000001,0.015072545000000001
ecoli_00014,-0.3934972242,-0.205655898
ecoli_00015,0.6000877531000001,-0.10672901100000001
ecoli_00016,0.1130064123,-0.015385939000000001
ecoli_00017,0.14577557030000002,0.136638603
ecoli_00018,0.1321557575,0.021064587000000003
ecoli_00019,-0.3147294337,-0.632814502
ecoli_00020,-0.0642702542,-0.721357028
ecoli_00021,-0.7362650256000001,-0.394623565
ecoli_00022,-0.8112857261,-0.516599728
ecoli_00023,-0.1838067324,-0.745581024
ecoli_00024,-0.4404646478,-0.857185948
ecoli_00025,-0.4746086866,-0.571276169
ecoli_00026,0.332664347,-0.583986248
ecoli_00027,0.2345179043,-0.039632909
ecoli_00028,0.39921828800000003,-0.120899116
ecoli_00029,-0.6810347734000001,-0.09678350200000001
ecoli_00030,-0.2320886678,-0.24047221500000002
ecoli_00031,-0.2656204386,0.17291160400000002
ecoli_00032,-0.4345342398,-0.20091185
ecoli_00033,2.3905870814,0.0026445030000000003
ecoli_00034,0.34317133380000003,-0.170453131
ecoli_00035,0.28979202390000003,0.127603097
ecoli_00036,0.39087273170000003,0.033618547
ecoli_00037,0.35820574990000004,-0.306061509
ecoli_00038,0.1964502977,-0.040369575000000005
ecoli_00039,1.1003821594,0.381548559
ecoli_00040,4.5201790552,0.06514389100000001
ecoli_00041,0.6614389314,0.036574811000000006
ecoli_00042,0.4694085408,0.02610399
ecoli_00043,1.2490263416,0.051506581
ecoli_00044,0.8793739386,-0.001685674
ecoli_00045,0.8314273607,-0.194608841
ecoli_00046,1.7812117553,-0.035479108
ecoli_00047,0.6304398453,-0.027646691
ecoli_00048,0.6998721373,-0.02501224
ecoli_00049,0.4440849799,0.072112542
ecoli_00050,0.1106899828,-0.279375085
ecoli_00051,-0.014869664500000001,0.229778215
ecoli_00052,0.42436832900000004,-0.07020464800000001
ecoli_00053,0.9279445739000001,-0.233232978
ecoli_00054,5.5821220934,0.617841392
ecoli_00055,4.5916639402,0.539594486
ecoli_00056,1.4634764036,1.146017129
ecoli_00057,1.7553166733,1.171588495
ecoli_00058,1.5175388128,1.027927041
ecoli_00059,1.4558333514,0.9695215850000001
ecoli_00060,-0.0870773997,0.5007631880000001
ecoli_00061,-0.3568591819,0.46001776600000005
ecoli_00062,1.4329952983,1.121649977
