,add
Cr_1,-0.00020123351749691722
Cr_2,-0.004417536120811402
Cr_3,-0.019777987849904616
Cr_4,-0.027376452147016908
Cr_5,-0.03930319836289017
Cr_6,-0.0443242597978598
Fe_1,-0.015784099750570612
Fe_2,-0.03805413320703768
Fe_3,-0.03700316407095251
Fe_4,-0.04295788816042803
Fe_5,-0.0625408383310883
Fe_6,-0.07695217763128122
Cd_1,0.004285419750860561
Cd_2,0.007887849860739319
Cd_3,0.01247866899453546
Cd_4,0.0292065987988002
Cd_5,0.04674094924964308
Cd_6,0.06380639779262942
Zn_1,-0.06492167195897859
Zn_2,-0.0005458879984706214
Zn_3,-0.04354076445161362
Zn_4,-0.05769059970470975
Zn_5,-0.05506543925368388
Zn_6,-0.050448458530797914
Cu_1,0.01821406404703421
Cu_2,0.037616327200972965
Cu_3,0.049798606801457035
Cu_4,0.06445172509741963
Cu_5,0.07930299705577873
Cu_6,0.0903479454450188
Pb_1,0.017208418592609496
Pb_2,0.03427747876802125
Pb_3,0.022786366309001257
Pb_4,0.0227189802091181
Pb_5,0.0316785213543857
Pb_6,0.03886283646718505
