,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.00010755737465960582,,1.0,0.0,0.00010755737465960582
1,Cr__2,0.0053790827780802256,,1.0,1.0,0.0053790827780802256
2,Cr__3,0.004816250134006205,,1.0,2.0,0.004816250134006205
3,Cr__4,0.008578816478390386,,1.0,3.0,0.008578816478390386
4,Cr__5,0.007915769138209551,,1.0,4.0,0.007915769138209551
5,Cr__6,0.011871865123853992,,1.0,5.0,0.011871865123853992
6,Fe__1,-0.060777142710718414,,1.0,6.0,-0.060777142710718414
7,Fe__2,-0.10603882832361844,,1.0,7.0,-0.10603882832361844
8,Fe__3,-0.13765187365876894,,1.0,8.0,-0.13765187365876894
9,Fe__4,-0.18007187159507246,,1.0,9.0,-0.18007187159507246
10,Fe__5,-0.20397678932394656,,1.0,10.0,-0.20397678932394656
11,Fe__6,-0.17789953917870782,,1.0,11.0,-0.17789953917870782
12,Cd__1,-0.001520322772314822,,1.0,12.0,-0.001520322772314822
13,Cd__2,0.006577673794518023,,1.0,13.0,0.006577673794518023
14,Cd__3,0.017366184661461264,,1.0,14.0,0.017366184661461264
15,Cd__4,0.019179348245420308,,1.0,15.0,0.019179348245420308
16,Cd__5,0.02165000182536948,,1.0,16.0,0.02165000182536948
17,Cd__6,0.0307362544799131,,1.0,17.0,0.0307362544799131
18,Zn__1,0.039496808135300585,,1.0,18.0,0.039496808135300585
19,Zn__2,0.11668748367796193,,1.0,19.0,0.11668748367796193
20,Zn__3,0.10296745183226326,,1.0,20.0,0.10296745183226326
21,Zn__4,0.1384767974518569,,1.0,21.0,0.1384767974518569
22,Zn__5,0.11019794959403433,,1.0,22.0,0.11019794959403433
23,Zn__6,0.21102253482094105,,1.0,23.0,0.21102253482094105
24,Cu__1,0.034091122738978144,,1.0,24.0,0.034091122738978144
25,Cu__2,0.06660908580356811,,1.0,25.0,0.06660908580356811
26,Cu__3,0.10348883989117348,,1.0,26.0,0.10348883989117348
27,Cu__4,0.1304709743715853,,1.0,27.0,0.1304709743715853
28,Cu__5,0.17295846012634328,,1.0,28.0,0.17295846012634328
29,Cu__6,0.19717661428247424,,1.0,29.0,0.19717661428247424
30,Pb__1,0.02519513969418816,,1.0,30.0,0.02519513969418816
31,Pb__2,0.014312506699996525,,1.0,31.0,0.014312506699996525
32,Pb__3,0.02239427022368087,,1.0,32.0,0.02239427022368087
33,Pb__4,0.022782651495091937,,1.0,33.0,0.022782651495091937
34,Pb__5,-0.007139144648300184,,1.0,34.0,-0.007139144648300184
35,Pb__6,0.002343629699220137,,1.0,35.0,0.002343629699220137
