,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.0015093717445198431,,1.0,0.0,0.0015093717445198431
1,Cr__2,0.004899448394794961,,1.0,1.0,0.004899448394794961
2,Cr__3,0.016979504626824522,,1.0,2.0,0.016979504626824522
3,Cr__4,0.001014761297756449,,1.0,3.0,0.001014761297756449
4,Cr__5,0.0019904113366167727,,1.0,4.0,0.0019904113366167727
5,Cr__6,0.00491842874106241,,1.0,5.0,0.00491842874106241
6,Fe__1,-0.034153268620085615,,1.0,6.0,-0.034153268620085615
7,Fe__2,-0.0651218202654485,,1.0,7.0,-0.0651218202654485
8,Fe__3,-0.05725285894266852,,1.0,8.0,-0.05725285894266852
9,Fe__4,-0.04098548661016965,,1.0,9.0,-0.04098548661016965
10,Fe__5,-0.02056939702481113,,1.0,10.0,-0.02056939702481113
11,Fe__6,0.01019497083756902,,1.0,11.0,0.01019497083756902
12,Cd__1,-0.004867486868461752,,1.0,12.0,-0.004867486868461752
13,Cd__2,-0.0036120033803061133,,1.0,13.0,-0.0036120033803061133
14,Cd__3,0.0013226506066916722,,1.0,14.0,0.0013226506066916722
15,Cd__4,0.014443672900772545,,1.0,15.0,0.014443672900772545
16,Cd__5,0.00872952917254809,,1.0,16.0,0.00872952917254809
17,Cd__6,0.005916243884721349,,1.0,17.0,0.005916243884721349
18,Zn__1,0.02655844357727573,,1.0,18.0,0.02655844357727573
19,Zn__2,0.08883847373045221,,1.0,19.0,0.08883847373045221
20,Zn__3,0.06367723608176801,,1.0,20.0,0.06367723608176801
21,Zn__4,-0.0014899470730366994,,1.0,21.0,-0.0014899470730366994
22,Zn__5,-0.032857892869992335,,1.0,22.0,-0.032857892869992335
23,Zn__6,-0.1632337204687477,,1.0,23.0,-0.1632337204687477
24,Cu__1,0.007794595583570527,,1.0,24.0,0.007794595583570527
25,Cu__2,-0.00027945413951971625,,1.0,25.0,-0.00027945413951971625
26,Cu__3,-0.013329465721589048,,1.0,26.0,-0.013329465721589048
27,Cu__4,-0.016503588605731145,,1.0,27.0,-0.016503588605731145
28,Cu__5,-0.007243566795019886,,1.0,28.0,-0.007243566795019886
29,Cu__6,-0.002996589636403441,,1.0,29.0,-0.002996589636403441
30,Pb__1,0.016824317986307513,,1.0,30.0,0.016824317986307513
31,Pb__2,-0.01042857906392353,,1.0,31.0,-0.01042857906392353
32,Pb__3,-0.01774459002442458,,1.0,32.0,-0.01774459002442458
33,Pb__4,-0.01578941914930947,,1.0,33.0,-0.01578941914930947
34,Pb__5,-0.03500374902364976,,1.0,34.0,-0.03500374902364976
35,Pb__6,-0.022170081013893974,,1.0,35.0,-0.022170081013893974
