k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,-0.02058692842721939,,,
5,Lead,False,-0.011068391781300306,,,
8,Zinc - Fast,False,-0.011025842605158686,,,
7,Zinc - Steady,False,-0.00973325471393764,,,
14,UC-7,False,-0.006122505725361407,,,
3,Cadmium,False,0.005239883526228368,,,
11,Chromium,False,0.005161841902881861,,,
10,Copper,False,-0.005111677679233253,,,
13,UC-6,False,0.003957354230806232,,,
1,UC-2,False,-0.0007019663968821987,,,
9,UC-5,False,-0.0005536465213075841,,,
12,Zinc - Intermediate,False,0.0005250047241528352,,,
4,UC-4,False,-0.000512826768681407,,,
2,UC-3,False,0.0004390914857503958,,,
0,UC-1,False,-0.0002020883192017209,,,
