,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.006534829357175385,,1.0,0.0,0.006534829357175385
1,Cr__2,0.003153492904035406,,1.0,1.0,0.003153492904035406
2,Cr__3,0.006093293290897382,,1.0,2.0,0.006093293290897382
3,Cr__4,0.006881264819866514,,1.0,3.0,0.006881264819866514
4,Cr__5,-0.0015111971411618775,,1.0,4.0,-0.0015111971411618775
5,Cr__6,-0.006865705393912064,,1.0,5.0,-0.006865705393912064
6,Fe__1,-0.06813101962280678,,1.0,6.0,-0.06813101962280678
7,Fe__2,-0.13194619460038312,,1.0,7.0,-0.13194619460038312
8,Fe__3,-0.1854487589319483,,1.0,8.0,-0.1854487589319483
9,Fe__4,-0.23415527574079176,,1.0,9.0,-0.23415527574079176
10,Fe__5,-0.2649402583425415,,1.0,10.0,-0.2649402583425415
11,Fe__6,-0.2826790787616559,,1.0,11.0,-0.2826790787616559
12,Cd__1,-0.013755772981718824,,1.0,12.0,-0.013755772981718824
13,Cd__2,-0.023307286159186664,,1.0,13.0,-0.023307286159186664
14,Cd__3,-0.025430584916030667,,1.0,14.0,-0.025430584916030667
15,Cd__4,-0.02287996002927602,,1.0,15.0,-0.02287996002927602
16,Cd__5,-0.0256240421921064,,1.0,16.0,-0.0256240421921064
17,Cd__6,-0.021154825172825,,1.0,17.0,-0.021154825172825
18,Zn__1,-0.1107935158141988,,1.0,18.0,-0.1107935158141988
19,Zn__2,0.6949173995590849,,1.0,19.0,0.6949173995590849
20,Zn__3,1.2123076178475631,,1.0,20.0,1.2123076178475631
21,Zn__4,1.3705708976026971,,1.0,21.0,1.3705708976026971
22,Zn__5,1.078777229816175,,1.0,22.0,1.078777229816175
23,Zn__6,0.8959232959101956,,1.0,23.0,0.8959232959101956
24,Cu__1,0.0011890230403718244,,1.0,24.0,0.0011890230403718244
25,Cu__2,0.0008404096204124138,,1.0,25.0,0.0008404096204124138
26,Cu__3,0.003000727364893102,,1.0,26.0,0.003000727364893102
27,Cu__4,0.002897223915258569,,1.0,27.0,0.002897223915258569
28,Cu__5,0.004880326690602733,,1.0,28.0,0.004880326690602733
29,Cu__6,0.009537889881421641,,1.0,29.0,0.009537889881421641
30,Pb__1,0.00534180237099569,,1.0,30.0,0.00534180237099569
31,Pb__2,0.013674428047198782,,1.0,31.0,0.013674428047198782
32,Pb__3,0.028078258293282164,,1.0,32.0,0.028078258293282164
33,Pb__4,0.03810970720151096,,1.0,33.0,0.03810970720151096
34,Pb__5,0.05211025471001664,,1.0,34.0,0.05211025471001664
35,Pb__6,0.0705128129935943,,1.0,35.0,0.0705128129935943
