,blc
Cr_1,0.006923009804924385
Cr_2,0.01384758336112854
Cr_3,0.026834355463923404
Cr_4,0.039342504163054536
Cr_5,0.049942630525190594
Cr_6,0.05865107174258743
Fe_1,-0.010304608616210877
Fe_2,-0.04559028834548254
Fe_3,-0.09750669949524277
Fe_4,-0.15393146535641286
Fe_5,-0.20349500083552188
Fe_6,-0.233374989705726
Cd_1,0.001235953420792667
Cd_2,0.0008394514486659883
Cd_3,0.0012041100369158762
Cd_4,0.006353940609860916
Cd_5,0.009188257830516435
Cd_6,0.019111991157991264
Zn_1,0.006993825896243329
Zn_2,-0.0012163632655368454
Zn_3,-0.004478870120682704
Zn_4,0.004384728783590907
Zn_5,0.020982965965668024
Zn_6,0.028663664923579562
Cu_1,0.006698678948374573
Cu_2,0.01848190781269469
Cu_3,0.025715547577054368
Cu_4,0.02804822049973289
Cu_5,0.034529781535137916
Cu_6,0.04199384240776477
Pb_1,0.0017699898847510867
Pb_2,0.0060118657610000225
Pb_3,0.008108727586026607
Pb_4,0.017905878440601004
Pb_5,0.02883004512108455
Pb_6,0.041474468244450134
