,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.005238814119327327,,1.0,0.0,0.005238814119327327
1,Cr__2,0.012218627636361085,,1.0,1.0,0.012218627636361085
2,Cr__3,0.02061273506424388,,1.0,2.0,0.02061273506424388
3,Cr__4,0.025697127650530515,,1.0,3.0,0.025697127650530515
4,Cr__5,0.030542702605926744,,1.0,4.0,0.030542702605926744
5,Cr__6,0.03344950077892925,,1.0,5.0,0.03344950077892925
6,Fe__1,-0.0005584992541374036,,1.0,6.0,-0.0005584992541374036
7,Fe__2,-0.0221165290226414,,1.0,7.0,-0.0221165290226414
8,Fe__3,-0.04092515568277925,,1.0,8.0,-0.04092515568277925
9,Fe__4,-0.054115210315902725,,1.0,9.0,-0.054115210315902725
10,Fe__5,-0.06575756195839089,,1.0,10.0,-0.06575756195839089
11,Fe__6,-0.07580649024728472,,1.0,11.0,-0.07580649024728472
12,Cd__1,0.019308438959742283,,1.0,12.0,0.019308438959742283
13,Cd__2,0.045639830881166084,,1.0,13.0,0.045639830881166084
14,Cd__3,0.07772568226097946,,1.0,14.0,0.07772568226097946
15,Cd__4,0.11477694506828955,,1.0,15.0,0.11477694506828955
16,Cd__5,0.14270001950551986,,1.0,16.0,0.14270001950551986
17,Cd__6,0.16718486352456502,,1.0,17.0,0.16718486352456502
18,Zn__1,0.012218762204561216,,1.0,18.0,0.012218762204561216
19,Zn__2,0.028996151339252683,,1.0,19.0,0.028996151339252683
20,Zn__3,0.04493587342997238,,1.0,20.0,0.04493587342997238
21,Zn__4,0.06739449447480464,,1.0,21.0,0.06739449447480464
22,Zn__5,0.0892764006412089,,1.0,22.0,0.0892764006412089
23,Zn__6,0.11513700950221435,,1.0,23.0,0.11513700950221435
24,Cu__1,0.00013219627632589002,,1.0,24.0,0.00013219627632589002
25,Cu__2,0.003563611416454289,,1.0,25.0,0.003563611416454289
26,Cu__3,0.012279106436657871,,1.0,26.0,0.012279106436657871
27,Cu__4,0.01935100225211453,,1.0,27.0,0.01935100225211453
28,Cu__5,0.02455695727151401,,1.0,28.0,0.02455695727151401
29,Cu__6,0.03227092000406138,,1.0,29.0,0.03227092000406138
30,Pb__1,-0.001862079467709428,,1.0,30.0,-0.001862079467709428
31,Pb__2,-0.00029800267864695635,,1.0,31.0,-0.00029800267864695635
32,Pb__3,0.010066326928005465,,1.0,32.0,0.010066326928005465
33,Pb__4,0.015045345007883182,,1.0,33.0,0.015045345007883182
34,Pb__5,0.0197090277224548,,1.0,34.0,0.0197090277224548
35,Pb__6,0.03124928459127171,,1.0,35.0,0.03124928459127171
