,cysK
Cr_1,-0.004499966323015292
Cr_2,0.002194425215481345
Cr_3,0.015215037527922663
Cr_4,0.02953006291370705
Cr_5,0.04036635272255522
Cr_6,0.047627868975112855
Fe_1,-0.004947967873827563
Fe_2,0.008586707324275359
Fe_3,0.024488063135447297
Fe_4,0.03489791856103623
Fe_5,0.04177230088331983
Fe_6,0.04563184622526585
Cd_1,0.00023248650268186918
Cd_2,0.0034169336486534717
Cd_3,0.00946972810436027
Cd_4,0.014548470917506587
Cd_5,0.015800263930024868
Cd_6,0.020947127886283518
Zn_1,-0.00032996203556684536
Zn_2,0.011050639795464636
Zn_3,0.018021524331258577
Zn_4,0.01948603279411136
Zn_5,0.020096804872646003
Zn_6,0.0170200210507077
Cu_1,0.005927714299960842
Cu_2,0.016732320854103474
Cu_3,0.025970610889616292
Cu_4,0.03139709387201255
Cu_5,0.03746722985806791
Cu_6,0.04462746637865292
Pb_1,5.5462910251953624e-05
Pb_2,0.0032113037424362496
Pb_3,0.009783224772442315
Pb_4,0.01608215467369454
Pb_5,0.02370865164891328
Pb_6,0.03405890266299146
