,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.009942271353287624,,1.0,0.0,-0.009942271353287624
1,Cr__2,-0.009356380623108573,,1.0,1.0,-0.009356380623108573
2,Cr__3,-0.010536770881338527,,1.0,2.0,-0.010536770881338527
3,Cr__4,-0.011623040417512557,,1.0,3.0,-0.011623040417512557
4,Cr__5,-0.016408366938756552,,1.0,4.0,-0.016408366938756552
5,Cr__6,-0.01678652828905894,,1.0,5.0,-0.01678652828905894
6,Fe__1,-0.003822989919065942,,1.0,6.0,-0.003822989919065942
7,Fe__2,-0.00835972842835558,,1.0,7.0,-0.00835972842835558
8,Fe__3,-0.01742242816422519,,1.0,8.0,-0.01742242816422519
9,Fe__4,-0.024262744488799837,,1.0,9.0,-0.024262744488799837
10,Fe__5,-0.019063882218454925,,1.0,10.0,-0.019063882218454925
11,Fe__6,-0.014344305695322947,,1.0,11.0,-0.014344305695322947
12,Cd__1,0.015542461370482763,,1.0,12.0,0.015542461370482763
13,Cd__2,0.03125412936482544,,1.0,13.0,0.03125412936482544
14,Cd__3,0.035026620623090865,,1.0,14.0,0.035026620623090865
15,Cd__4,0.03771877191382906,,1.0,15.0,0.03771877191382906
16,Cd__5,0.03707737479613156,,1.0,16.0,0.03707737479613156
17,Cd__6,0.04005796773840602,,1.0,17.0,0.04005796773840602
18,Zn__1,-0.0003983745086897461,,1.0,18.0,-0.0003983745086897461
19,Zn__2,0.00818924477082669,,1.0,19.0,0.00818924477082669
20,Zn__3,0.014819916614995744,,1.0,20.0,0.014819916614995744
21,Zn__4,0.035821925304603444,,1.0,21.0,0.035821925304603444
22,Zn__5,0.05084896437299313,,1.0,22.0,0.05084896437299313
23,Zn__6,0.06433577756673274,,1.0,23.0,0.06433577756673274
24,Cu__1,-0.009054647236793415,,1.0,24.0,-0.009054647236793415
25,Cu__2,-0.011281914484299237,,1.0,25.0,-0.011281914484299237
26,Cu__3,-0.010031372889038126,,1.0,26.0,-0.010031372889038126
27,Cu__4,-0.006257383922538347,,1.0,27.0,-0.006257383922538347
28,Cu__5,-0.0012567033291307676,,1.0,28.0,-0.0012567033291307676
29,Cu__6,0.0009401055130461481,,1.0,29.0,0.0009401055130461481
30,Pb__1,-0.002149130881514296,,1.0,30.0,-0.002149130881514296
31,Pb__2,-0.008098721112611305,,1.0,31.0,-0.008098721112611305
32,Pb__3,-0.006267042720142603,,1.0,32.0,-0.006267042720142603
33,Pb__4,-0.007159189543338522,,1.0,33.0,-0.007159189543338522
34,Pb__5,-0.014618618170161916,,1.0,34.0,-0.014618618170161916
35,Pb__6,-0.019219052321764744,,1.0,35.0,-0.019219052321764744
