k,name,in_iM,gene_weight,regulator,function,category
3,Cadmium,False,-0.009456300288438794,,,
1,UC-2,False,0.0074055653391405935,,,
7,Zinc - Steady,False,-0.006796126798726618,,,
5,Lead,False,-0.005569007103331387,,,
6,Iron,False,-0.004573842626996338,,,
8,Zinc - Fast,False,-0.003195120776072145,,,
10,Copper,False,-0.0031193927209824325,,,
4,UC-4,False,-0.002372962157242,,,
12,Zinc - Intermediate,False,0.002072012148017669,,,
14,UC-7,False,0.001841784381540492,,,
11,Chromium,False,0.001659170276252553,,,
2,UC-3,False,-0.001389834366273135,,,
13,UC-6,False,-0.0009351630002493039,,,
9,UC-5,False,-0.00047083246765001845,,,
0,UC-1,False,0.000263846758462023,,,
