,dnaJ
Cr_1,-0.006827898330221328
Cr_2,-0.007901232143414628
Cr_3,-0.015343251997739303
Cr_4,-0.02516923522610236
Cr_5,-0.02294246020246788
Cr_6,-0.019634856352503
Fe_1,-0.005446372789287443
Fe_2,-0.02161748189344579
Fe_3,-0.017185003430883024
Fe_4,-0.007252454245373867
Fe_5,0.01090476725882372
Fe_6,0.033165445702918836
Cd_1,0.005256373722066296
Cd_2,0.014071356750869176
Cd_3,0.02101898615581611
Cd_4,0.027351389415054363
Cd_5,0.02531706425860504
Cd_6,0.03115880065116133
Zn_1,0.01123164344241256
Zn_2,0.003962744893553608
Zn_3,0.00020145714928799418
Zn_4,-0.002640053256543789
Zn_5,-0.003219878508507377
Zn_6,-0.011303896602518996
Cu_1,-0.002270112880145245
Cu_2,0.005732346534527756
Cu_3,0.0044886865349721
Cu_4,0.0028223334445290943
Cu_5,0.005040522864089025
Cu_6,0.008134336349599728
Pb_1,0.003109001863286975
Pb_2,0.011401412709413515
Pb_3,0.021174653556358884
Pb_4,0.03000785325651771
Pb_5,0.04571061960312993
Pb_6,0.0502698501579984
