,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.003855499501890323,,1.0,0.0,0.003855499501890323
1,Cr__2,0.006984740272830245,,1.0,1.0,0.006984740272830245
2,Cr__3,0.010522678921691557,,1.0,2.0,0.010522678921691557
3,Cr__4,0.013535395449847895,,1.0,3.0,0.013535395449847895
4,Cr__5,0.01920077468198715,,1.0,4.0,0.01920077468198715
5,Cr__6,0.02479320129009748,,1.0,5.0,0.02479320129009748
6,Fe__1,-0.009559940320085815,,1.0,6.0,-0.009559940320085815
7,Fe__2,-0.02013473681752984,,1.0,7.0,-0.02013473681752984
8,Fe__3,-0.017367762498514832,,1.0,8.0,-0.017367762498514832
9,Fe__4,-0.011434227236846171,,1.0,9.0,-0.011434227236846171
10,Fe__5,-0.003910226285944042,,1.0,10.0,-0.003910226285944042
11,Fe__6,-0.0005725578480980553,,1.0,11.0,-0.0005725578480980553
12,Cd__1,0.0004150068386852656,,1.0,12.0,0.0004150068386852656
13,Cd__2,0.003292958246414701,,1.0,13.0,0.003292958246414701
14,Cd__3,0.00790602598625077,,1.0,14.0,0.00790602598625077
15,Cd__4,0.013893172648029549,,1.0,15.0,0.013893172648029549
16,Cd__5,0.0136074948287179,,1.0,16.0,0.0136074948287179
17,Cd__6,0.01783277346833502,,1.0,17.0,0.01783277346833502
18,Zn__1,0.0007826690297593532,,1.0,18.0,0.0007826690297593532
19,Zn__2,0.0065896375923997965,,1.0,19.0,0.0065896375923997965
20,Zn__3,0.017394516288279864,,1.0,20.0,0.017394516288279864
21,Zn__4,0.0277740878055755,,1.0,21.0,0.0277740878055755
22,Zn__5,0.029052001154582244,,1.0,22.0,0.029052001154582244
23,Zn__6,0.0267611819011779,,1.0,23.0,0.0267611819011779
24,Cu__1,0.007793803478867326,,1.0,24.0,0.007793803478867326
25,Cu__2,0.014657729565032803,,1.0,25.0,0.014657729565032803
26,Cu__3,0.02914396355276885,,1.0,26.0,0.02914396355276885
27,Cu__4,0.043240186661935305,,1.0,27.0,0.043240186661935305
28,Cu__5,0.05595267817924664,,1.0,28.0,0.05595267817924664
29,Cu__6,0.07145741319972393,,1.0,29.0,0.07145741319972393
30,Pb__1,0.006782784924193297,,1.0,30.0,0.006782784924193297
31,Pb__2,0.016829145689238115,,1.0,31.0,0.016829145689238115
32,Pb__3,0.02772248400861768,,1.0,32.0,0.02772248400861768
33,Pb__4,0.03734326313783492,,1.0,33.0,0.03734326313783492
34,Pb__5,0.04740434251211451,,1.0,34.0,0.04740434251211451
35,Pb__6,0.060155653770152785,,1.0,35.0,0.060155653770152785
