k,name,in_iM,gene_weight,regulator,function,category
10,Copper,False,-0.012214912446215748,,,
6,Iron,False,0.009104284299537541,,,
11,Chromium,False,-0.00540276917628944,,,
13,UC-6,False,0.0040849466016516095,,,
3,Cadmium,False,-0.0035666817403398453,,,
12,Zinc - Intermediate,False,-0.0016739255796377381,,,
2,UC-3,False,0.001425826812628657,,,
8,Zinc - Fast,False,-0.0012245056615211069,,,
5,Lead,False,0.0011843673430848864,,,
7,Zinc - Steady,False,0.0010387447813991458,,,
1,UC-2,False,0.0007806786237051711,,,
9,UC-5,False,0.0005642066673032558,,,
4,UC-4,False,0.0002663162036333233,,,
14,UC-7,False,0.00024161261651897803,,,
0,UC-1,False,0.00016067978154751472,,,
