,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.006994353486916049,,1.0,0.0,0.006994353486916049
1,Cr__2,0.014811166335790016,,1.0,1.0,0.014811166335790016
2,Cr__3,0.02315906729106665,,1.0,2.0,0.02315906729106665
3,Cr__4,0.0307087482325306,,1.0,3.0,0.0307087482325306
4,Cr__5,0.03620945737316696,,1.0,4.0,0.03620945737316696
5,Cr__6,0.040707009838284826,,1.0,5.0,0.040707009838284826
6,Fe__1,-0.0034837511434572077,,1.0,6.0,-0.0034837511434572077
7,Fe__2,-0.015190590041329562,,1.0,7.0,-0.015190590041329562
8,Fe__3,-0.029360742053456637,,1.0,8.0,-0.029360742053456637
9,Fe__4,-0.04749173171626312,,1.0,9.0,-0.04749173171626312
10,Fe__5,-0.061437655647185126,,1.0,10.0,-0.061437655647185126
11,Fe__6,-0.07229619741279024,,1.0,11.0,-0.07229619741279024
12,Cd__1,0.004551845802319803,,1.0,12.0,0.004551845802319803
13,Cd__2,0.0082264668421637,,1.0,13.0,0.0082264668421637
14,Cd__3,0.010961619407560113,,1.0,14.0,0.010961619407560113
15,Cd__4,0.014956906467095969,,1.0,15.0,0.014956906467095969
16,Cd__5,0.017589337401431874,,1.0,16.0,0.017589337401431874
17,Cd__6,0.02584302276970487,,1.0,17.0,0.02584302276970487
18,Zn__1,-0.0010063312741325472,,1.0,18.0,-0.0010063312741325472
19,Zn__2,-0.002764693750626729,,1.0,19.0,-0.002764693750626729
20,Zn__3,0.002659828752664493,,1.0,20.0,0.002659828752664493
21,Zn__4,0.00959821802331987,,1.0,21.0,0.00959821802331987
22,Zn__5,0.02061516429101432,,1.0,22.0,0.02061516429101432
23,Zn__6,0.03279826403753086,,1.0,23.0,0.03279826403753086
24,Cu__1,0.004919595886814248,,1.0,24.0,0.004919595886814248
25,Cu__2,0.00920822406856344,,1.0,25.0,0.00920822406856344
26,Cu__3,0.015272481078444184,,1.0,26.0,0.015272481078444184
27,Cu__4,0.01969225631882061,,1.0,27.0,0.01969225631882061
28,Cu__5,0.028305514798598618,,1.0,28.0,0.028305514798598618
29,Cu__6,0.036036414562459006,,1.0,29.0,0.036036414562459006
30,Pb__1,0.009250930532287262,,1.0,30.0,0.009250930532287262
31,Pb__2,0.019460107853674774,,1.0,31.0,0.019460107853674774
32,Pb__3,0.03091608198782585,,1.0,32.0,0.03091608198782585
33,Pb__4,0.04295007613377323,,1.0,33.0,0.04295007613377323
34,Pb__5,0.056048606404660604,,1.0,34.0,0.056048606404660604
35,Pb__6,0.06970251610287305,,1.0,35.0,0.06970251610287305
