k,name,in_iM,gene_weight,regulator,function,category
0,UC-1,False,-0.03268043730407953,,,
5,Lead,False,-0.03143027450889349,,,
6,Iron,False,0.02557302901521325,,,
10,Copper,False,0.010761129772290587,,,
11,Chromium,False,-0.008531539095565676,,,
12,Zinc - Intermediate,False,0.008416427720158574,,,
13,UC-6,False,0.007339745969511569,,,
3,Cadmium,False,0.007086437316611409,,,
14,UC-7,False,0.006643043030053378,,,
8,Zinc - Fast,False,0.005871182084083557,,,
1,UC-2,False,0.0058629286102950574,,,
2,UC-3,False,0.0029913791851140558,,,
4,UC-4,False,0.002965331058949232,,,
9,UC-5,False,0.0010714433155953882,,,
7,Zinc - Steady,False,-0.0009761802841239842,,,
