,ftsZ
Cr_1,-0.0007230453419259804
Cr_2,-0.00017307628711527357
Cr_3,0.002893448701855782
Cr_4,0.005620162252821603
Cr_5,0.006830149199030343
Cr_6,0.0084023468204864
Fe_1,-0.014808163114065466
Fe_2,-0.03786824941340314
Fe_3,-0.06145785154610683
Fe_4,-0.08888960857680568
Fe_5,-0.10974883952680936
Fe_6,-0.12797355059256627
Cd_1,0.002028335870677579
Cd_2,0.0027366357172049233
Cd_3,0.00550230988896945
Cd_4,0.0058798349175970864
Cd_5,0.0033043153529082807
Cd_6,0.007125522231851565
Zn_1,-0.008899131963663568
Zn_2,-0.01492987911764725
Zn_3,-0.017454337881069443
Zn_4,-0.013179522486700877
Zn_5,-0.01075577484182262
Zn_6,-0.008942548260719215
Cu_1,-4.1104940447529075e-05
Cu_2,0.003844928498383069
Cu_3,0.0130585732463387
Cu_4,0.021702119742571833
Cu_5,0.023114381194866418
Cu_6,0.02755515122447576
Pb_1,0.0003631973593883042
Pb_2,0.003510047572464577
Pb_3,0.01181916289272353
Pb_4,0.0273137678900726
Pb_5,0.04213358934191523
Pb_6,0.05955746158789872
