,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.011138789180095423,,1.0,0.0,-0.011138789180095423
1,Cr__2,-0.016511457932182828,,1.0,1.0,-0.016511457932182828
2,Cr__3,-0.007139288468332416,,1.0,2.0,-0.007139288468332416
3,Cr__4,0.008216316752166577,,1.0,3.0,0.008216316752166577
4,Cr__5,0.014025589495333477,,1.0,4.0,0.014025589495333477
5,Cr__6,0.015409323546091053,,1.0,5.0,0.015409323546091053
6,Fe__1,-0.01430415078958147,,1.0,6.0,-0.01430415078958147
7,Fe__2,-0.009338354857773276,,1.0,7.0,-0.009338354857773276
8,Fe__3,0.005953768862739681,,1.0,8.0,0.005953768862739681
9,Fe__4,0.005076707067682201,,1.0,9.0,0.005076707067682201
10,Fe__5,0.02278128176931693,,1.0,10.0,0.02278128176931693
11,Fe__6,0.03315469396999873,,1.0,11.0,0.03315469396999873
12,Cd__1,-0.003400389619812968,,1.0,12.0,-0.003400389619812968
13,Cd__2,0.006555519613682651,,1.0,13.0,0.006555519613682651
14,Cd__3,0.005624593027801996,,1.0,14.0,0.005624593027801996
15,Cd__4,0.007445614672924166,,1.0,15.0,0.007445614672924166
16,Cd__5,0.006013576326585382,,1.0,16.0,0.006013576326585382
17,Cd__6,0.0014709956219128696,,1.0,17.0,0.0014709956219128696
18,Zn__1,0.00018240684968395582,,1.0,18.0,0.00018240684968395582
19,Zn__2,0.002696342124237353,,1.0,19.0,0.002696342124237353
20,Zn__3,0.006307782322271905,,1.0,20.0,0.006307782322271905
21,Zn__4,0.01573675653560937,,1.0,21.0,0.01573675653560937
22,Zn__5,0.021754845879544123,,1.0,22.0,0.021754845879544123
23,Zn__6,0.031665333934237615,,1.0,23.0,0.031665333934237615
24,Cu__1,-0.00026618116131073624,,1.0,24.0,-0.00026618116131073624
25,Cu__2,0.0044791246592016595,,1.0,25.0,0.0044791246592016595
26,Cu__3,0.006136079308273114,,1.0,26.0,0.006136079308273114
27,Cu__4,0.008869617666099167,,1.0,27.0,0.008869617666099167
28,Cu__5,0.01872242608169722,,1.0,28.0,0.01872242608169722
29,Cu__6,0.02529220802528748,,1.0,29.0,0.02529220802528748
30,Pb__1,-0.0015121091708157955,,1.0,30.0,-0.0015121091708157955
31,Pb__2,0.0032040331299162624,,1.0,31.0,0.0032040331299162624
32,Pb__3,0.01697773381576826,,1.0,32.0,0.01697773381576826
33,Pb__4,0.025394565099024286,,1.0,33.0,0.025394565099024286
34,Pb__5,0.0289038512311183,,1.0,34.0,0.0289038512311183
35,Pb__6,0.04167228474070254,,1.0,35.0,0.04167228474070254
