k,name,in_iM,gene_weight,regulator,function,category
11,Chromium,False,0.014778850385919213,,,
5,Lead,False,0.010751708140596748,,,
6,Iron,False,-0.010177354980260131,,,
10,Copper,False,-0.007603293294087051,,,
3,Cadmium,False,-0.006156424968503415,,,
8,Zinc - Fast,False,0.004212462105788291,,,
4,UC-4,False,-0.002688670353963971,,,
12,Zinc - Intermediate,False,-0.002453738141872258,,,
14,UC-7,False,-0.002386154306586832,,,
2,UC-3,False,-0.0018104005849454551,,,
1,UC-2,False,-0.001539883075747639,,,
0,UC-1,False,0.0008240272366674617,,,
13,UC-6,False,-0.0006467672780854628,,,
9,UC-5,False,0.00015677420076344682,,,
7,Zinc - Steady,False,1.5065992556628771e-05,,,
