,grxC
Cr_1,-0.006004795469402739
Cr_2,-0.006458443728524767
Cr_3,-0.00678793489781687
Cr_4,-0.00551027485174201
Cr_5,-0.0036379766797153064
Cr_6,-0.0023780459645648486
Fe_1,-0.0053216810465538935
Fe_2,-0.02799633772523008
Fe_3,-0.057711446534765315
Fe_4,-0.08853245404805946
Fe_5,-0.1122424090652922
Fe_6,-0.13119716801567918
Cd_1,0.0006846862692756024
Cd_2,0.00434541695254124
Cd_3,0.009198605251395552
Cd_4,0.012742756201528848
Cd_5,0.011460527637735763
Cd_6,0.011786017149768006
Zn_1,0.006159083553387558
Zn_2,0.01884583265373848
Zn_3,0.03190128814469
Zn_4,0.03548685644574945
Zn_5,0.03801303004142032
Zn_6,0.0392393027956371
Cu_1,-0.00774965898650038
Cu_2,-0.010816338362618451
Cu_3,-0.012711440962575931
Cu_4,-0.01947009092205473
Cu_5,-0.02364492173331991
Cu_6,-0.017493966482817383
Pb_1,0.005451417945677398
Pb_2,0.012924390643949459
Pb_3,0.018632116390534977
Pb_4,0.021993080720778626
Pb_5,0.02406008315398756
Pb_6,0.029570342605255814
