k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,-0.07176324903964998,,,
11,Chromium,False,-0.009845041362568736,,,
7,Zinc - Steady,False,-0.0077678955672308815,,,
10,Copper,False,0.007030042386613786,,,
13,UC-6,False,-0.0065407041646540175,,,
5,Lead,False,0.004987153704278171,,,
3,Cadmium,False,-0.004201311692595482,,,
12,Zinc - Intermediate,False,0.003985788106514388,,,
1,UC-2,False,-0.0017892588675022126,,,
14,UC-7,False,0.0015995005017612127,,,
0,UC-1,False,0.0015211755421478301,,,
4,UC-4,False,-0.0010541283932980151,,,
8,Zinc - Fast,False,-0.0009062174067366867,,,
2,UC-3,False,-0.00042849948571529236,,,
9,UC-5,False,-0.0001905549764499932,,,
