,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.0007067829021503848,,1.0,0.0,0.0007067829021503848
1,Cr__2,-0.0011336254157259735,,1.0,1.0,-0.0011336254157259735
2,Cr__3,0.002982670172737457,,1.0,2.0,0.002982670172737457
3,Cr__4,0.008578769690211778,,1.0,3.0,0.008578769690211778
4,Cr__5,0.013798094311866177,,1.0,4.0,0.013798094311866177
5,Cr__6,0.01456671869528936,,1.0,5.0,0.01456671869528936
6,Fe__1,-0.022549029954464624,,1.0,6.0,-0.022549029954464624
7,Fe__2,-0.05278684180262511,,1.0,7.0,-0.05278684180262511
8,Fe__3,-0.09025038706842843,,1.0,8.0,-0.09025038706842843
9,Fe__4,-0.134756439360122,,1.0,9.0,-0.134756439360122
10,Fe__5,-0.16974291647495793,,1.0,10.0,-0.16974291647495793
11,Fe__6,-0.2029033404401453,,1.0,11.0,-0.2029033404401453
12,Cd__1,-0.004185997949395475,,1.0,12.0,-0.004185997949395475
13,Cd__2,0.002069296369566477,,1.0,13.0,0.002069296369566477
14,Cd__3,0.016398844847945834,,1.0,14.0,0.016398844847945834
15,Cd__4,0.05141725941451555,,1.0,15.0,0.05141725941451555
16,Cd__5,0.09857606207865252,,1.0,16.0,0.09857606207865252
17,Cd__6,0.15570453089635014,,1.0,17.0,0.15570453089635014
18,Zn__1,0.0006013719538595986,,1.0,18.0,0.0006013719538595986
19,Zn__2,-0.01150473427511134,,1.0,19.0,-0.01150473427511134
20,Zn__3,-0.019481353014864384,,1.0,20.0,-0.019481353014864384
21,Zn__4,-0.01608706782660766,,1.0,21.0,-0.01608706782660766
22,Zn__5,-0.009335788914401934,,1.0,22.0,-0.009335788914401934
23,Zn__6,-0.01037310707152611,,1.0,23.0,-0.01037310707152611
24,Cu__1,0.005667189531147959,,1.0,24.0,0.005667189531147959
25,Cu__2,0.009494918786090515,,1.0,25.0,0.009494918786090515
26,Cu__3,0.008003049644610512,,1.0,26.0,0.008003049644610512
27,Cu__4,0.006067112682912174,,1.0,27.0,0.006067112682912174
28,Cu__5,0.005801132381425935,,1.0,28.0,0.005801132381425935
29,Cu__6,0.005732055558928898,,1.0,29.0,0.005732055558928898
30,Pb__1,-0.003227749255489181,,1.0,30.0,-0.003227749255489181
31,Pb__2,-0.006680992791787005,,1.0,31.0,-0.006680992791787005
32,Pb__3,-0.005810839550511481,,1.0,32.0,-0.005810839550511481
33,Pb__4,-0.007648951883828861,,1.0,33.0,-0.007648951883828861
34,Pb__5,-0.01428378471825914,,1.0,34.0,-0.01428378471825914
35,Pb__6,-0.016002239674139482,,1.0,35.0,-0.016002239674139482
