,hrpB
Cr_1,0.00614313475178959
Cr_2,0.019833149359180027
Cr_3,0.02969199181222532
Cr_4,0.030920783702248773
Cr_5,0.0464894106015679
Cr_6,0.03110102433367924
Fe_1,-0.006806858988738141
Fe_2,-0.00852203785755834
Fe_3,-0.00010019527516432512
Fe_4,0.001333609380043734
Fe_5,0.013337376627006138
Fe_6,0.02791096012607881
Cd_1,-0.0054433643178995895
Cd_2,0.0040297079855184615
Cd_3,0.02164773360120257
Cd_4,0.0247370258089246
Cd_5,0.020151912278923826
Cd_6,0.023746931862816456
Zn_1,-0.031813615108374445
Zn_2,0.014712427037621054
Zn_3,0.057737574592129574
Zn_4,0.08120486622374162
Zn_5,0.0700642812918835
Zn_6,0.11591844117743187
Cu_1,0.007650499317291662
Cu_2,0.014009041213580755
Cu_3,0.023171181019311343
Cu_4,0.02819732892627608
Cu_5,0.0329102025786095
Cu_6,0.04452932536107622
Pb_1,-0.005472891590970446
Pb_2,-0.00024554103588078435
Pb_3,0.01622212560446614
Pb_4,0.030000212710201483
Pb_5,0.03684209147531611
Pb_6,0.050784736970697575
