,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.002772936961167223,,1.0,0.0,0.002772936961167223
1,Cr__2,0.008891654374849199,,1.0,1.0,0.008891654374849199
2,Cr__3,0.01465437350794716,,1.0,2.0,0.01465437350794716
3,Cr__4,0.016062937852754356,,1.0,3.0,0.016062937852754356
4,Cr__5,0.022496697946212302,,1.0,4.0,0.022496697946212302
5,Cr__6,0.022493072084702824,,1.0,5.0,0.022493072084702824
6,Fe__1,-0.017798424880873485,,1.0,6.0,-0.017798424880873485
7,Fe__2,-0.028683966619203624,,1.0,7.0,-0.028683966619203624
8,Fe__3,-0.036843985551651214,,1.0,8.0,-0.036843985551651214
9,Fe__4,-0.04714193365002192,,1.0,9.0,-0.04714193365002192
10,Fe__5,-0.055970849780983864,,1.0,10.0,-0.055970849780983864
11,Fe__6,-0.05921079273982665,,1.0,11.0,-0.05921079273982665
12,Cd__1,0.010857074512809628,,1.0,12.0,0.010857074512809628
13,Cd__2,0.017699193669363747,,1.0,13.0,0.017699193669363747
14,Cd__3,0.023312956585895297,,1.0,14.0,0.023312956585895297
15,Cd__4,0.02905872260837789,,1.0,15.0,0.02905872260837789
16,Cd__5,0.02891062100658465,,1.0,16.0,0.02891062100658465
17,Cd__6,0.03531185380066644,,1.0,17.0,0.03531185380066644
18,Zn__1,-0.0007796653602858487,,1.0,18.0,-0.0007796653602858487
19,Zn__2,0.010815029085953816,,1.0,19.0,0.010815029085953816
20,Zn__3,0.04236671094250116,,1.0,20.0,0.04236671094250116
21,Zn__4,0.06414709791968043,,1.0,21.0,0.06414709791968043
22,Zn__5,0.099654292180717,,1.0,22.0,0.099654292180717
23,Zn__6,0.1320906992369296,,1.0,23.0,0.1320906992369296
24,Cu__1,0.002878648424127428,,1.0,24.0,0.002878648424127428
25,Cu__2,0.0037035825473405843,,1.0,25.0,0.0037035825473405843
26,Cu__3,0.004983297921344317,,1.0,26.0,0.004983297921344317
27,Cu__4,0.002622966482596214,,1.0,27.0,0.002622966482596214
28,Cu__5,0.005611905969452595,,1.0,28.0,0.005611905969452595
29,Cu__6,0.008680560617419333,,1.0,29.0,0.008680560617419333
30,Pb__1,-0.00010054743561802124,,1.0,30.0,-0.00010054743561802124
31,Pb__2,0.0006164386842576207,,1.0,31.0,0.0006164386842576207
32,Pb__3,0.000333242848798453,,1.0,32.0,0.000333242848798453
33,Pb__4,0.0010999276585047966,,1.0,33.0,0.0010999276585047966
34,Pb__5,-0.010465211535381404,,1.0,34.0,-0.010465211535381404
35,Pb__6,-0.011203804631795844,,1.0,35.0,-0.011203804631795844
