,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.00827306874895457,,1.0,0.0,-0.00827306874895457
1,Cr__2,-0.00973388772766772,,1.0,1.0,-0.00973388772766772
2,Cr__3,-0.011934509092093159,,1.0,2.0,-0.011934509092093159
3,Cr__4,-0.01917683303966253,,1.0,3.0,-0.01917683303966253
4,Cr__5,-0.026250794768411263,,1.0,4.0,-0.026250794768411263
5,Cr__6,-0.035799711871829926,,1.0,5.0,-0.035799711871829926
6,Fe__1,-0.005414659088741734,,1.0,6.0,-0.005414659088741734
7,Fe__2,-0.01256454584291965,,1.0,7.0,-0.01256454584291965
8,Fe__3,-0.011170247046204672,,1.0,8.0,-0.011170247046204672
9,Fe__4,-0.0010127849910732953,,1.0,9.0,-0.0010127849910732953
10,Fe__5,0.024758322586271763,,1.0,10.0,0.024758322586271763
11,Fe__6,0.05417800200545981,,1.0,11.0,0.05417800200545981
12,Cd__1,0.019649897644881027,,1.0,12.0,0.019649897644881027
13,Cd__2,0.017323848051895047,,1.0,13.0,0.017323848051895047
14,Cd__3,0.02433618291357242,,1.0,14.0,0.02433618291357242
15,Cd__4,0.06869180728939019,,1.0,15.0,0.06869180728939019
16,Cd__5,0.09268251067774648,,1.0,16.0,0.09268251067774648
17,Cd__6,0.07453333035440662,,1.0,17.0,0.07453333035440662
18,Zn__1,-0.00221307632658713,,1.0,18.0,-0.00221307632658713
19,Zn__2,0.002599243630105713,,1.0,19.0,0.002599243630105713
20,Zn__3,0.011505231323928377,,1.0,20.0,0.011505231323928377
21,Zn__4,0.020060407084666155,,1.0,21.0,0.020060407084666155
22,Zn__5,0.01793409455125002,,1.0,22.0,0.01793409455125002
23,Zn__6,0.00713939026177778,,1.0,23.0,0.00713939026177778
24,Cu__1,0.005038210265511807,,1.0,24.0,0.005038210265511807
25,Cu__2,0.009095327777082112,,1.0,25.0,0.009095327777082112
26,Cu__3,0.015472239459048956,,1.0,26.0,0.015472239459048956
27,Cu__4,0.023708367936060137,,1.0,27.0,0.023708367936060137
28,Cu__5,0.037014527389672765,,1.0,28.0,0.037014527389672765
29,Cu__6,0.054105944652116815,,1.0,29.0,0.054105944652116815
30,Pb__1,0.010767940086364674,,1.0,30.0,0.010767940086364674
31,Pb__2,0.023891125164396,,1.0,31.0,0.023891125164396
32,Pb__3,0.03148556340316036,,1.0,32.0,0.03148556340316036
33,Pb__4,0.03673124452429704,,1.0,33.0,0.03673124452429704
34,Pb__5,0.037566136856689365,,1.0,34.0,0.037566136856689365
35,Pb__6,0.04364845067840011,,1.0,35.0,0.04364845067840011
