k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,0.012483150800690054,,,
3,Cadmium,False,-0.005204526307061315,,,
11,Chromium,False,-0.004682851941324771,,,
10,Copper,False,-0.003392518910113722,,,
0,UC-1,False,-0.0022140051005408172,,,
7,Zinc - Steady,False,-0.0019984596490394326,,,
13,UC-6,False,0.001514166526030749,,,
4,UC-4,False,-0.0012776700069662182,,,
5,Lead,False,-0.0010983358242083342,,,
1,UC-2,False,-0.0007995762710925193,,,
8,Zinc - Fast,False,0.000705859589506872,,,
9,UC-5,False,-0.0006712057406127633,,,
2,UC-3,False,-0.0006210408080369233,,,
12,Zinc - Intermediate,False,-0.00024376936097866405,,,
14,UC-7,False,-0.00013184994590119455,,,
