k,name,in_iM,gene_weight,regulator,function,category
1,UC-2,True,0.20990135073661806,,,
7,Zinc - Steady,True,0.16159553945064545,,,
12,Zinc - Intermediate,False,-0.21670365782387285,,,
9,UC-5,False,0.06550761956878635,,,
6,Iron,False,-0.035451203025877474,,,
5,Lead,False,-0.0108234756346792,,,
10,Copper,False,-0.00948718886822462,,,
3,Cadmium,False,-0.006259306860156358,,,
4,UC-4,False,-0.0061149178398773076,,,
0,UC-1,False,-0.0050589287420734754,,,
14,UC-7,False,-0.004886672459542751,,,
8,Zinc - Fast,False,-0.004582365686801496,,,
13,UC-6,False,-0.0034414193988777696,,,
11,Chromium,False,0.0016661158110946415,,,
2,UC-3,False,-0.0008019301027525216,,,
