k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,-0.01514916908927262,,,
5,Lead,False,0.010706936623901129,,,
12,Zinc - Intermediate,False,-0.007733701307506087,,,
1,UC-2,False,0.006002656719647347,,,
13,UC-6,False,-0.0043548084609210495,,,
4,UC-4,False,-0.004100303263403476,,,
2,UC-3,False,-0.0037877557147294283,,,
11,Chromium,False,-0.002993883087765425,,,
10,Copper,False,0.002380698195192963,,,
9,UC-5,False,-0.002250857296377331,,,
3,Cadmium,False,-0.0021214234083890915,,,
0,UC-1,False,-0.0018942953553050762,,,
14,UC-7,False,-0.001722453705733642,,,
7,Zinc - Steady,False,-0.000663823764771223,,,
8,Zinc - Fast,False,-0.0005415444888058118,,,
