k,name,in_iM,gene_weight,regulator,function,category
1,UC-2,True,-0.2817369714379311,,,
7,Zinc - Steady,True,0.19823972553014754,,,
12,Zinc - Intermediate,False,-0.17077770658645286,,,
6,Iron,False,-0.0383124502748251,,,
9,UC-5,False,0.034640612922249785,,,
11,Chromium,False,-0.014844191092997791,,,
14,UC-7,False,-0.0073367978958413,,,
8,Zinc - Fast,False,-0.006315203793910769,,,
10,Copper,False,-0.005568941719830036,,,
3,Cadmium,False,-0.004911275454796851,,,
2,UC-3,False,0.004342841519974172,,,
0,UC-1,False,-0.0024523635557852684,,,
13,UC-6,False,0.0015886165865231306,,,
4,UC-4,False,-0.0013390602055005731,,,
5,Lead,False,0.0013153155706822873,,,
