,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.003579347308097257,,1.0,0.0,-0.003579347308097257
1,Cr__2,-0.004003557323451412,,1.0,1.0,-0.004003557323451412
2,Cr__3,-0.0032636681129774997,,1.0,2.0,-0.0032636681129774997
3,Cr__4,-0.0018715605172896907,,1.0,3.0,-0.0018715605172896907
4,Cr__5,-0.0020700087755983407,,1.0,4.0,-0.0020700087755983407
5,Cr__6,-0.004983370300307542,,1.0,5.0,-0.004983370300307542
6,Fe__1,-0.009301269982690066,,1.0,6.0,-0.009301269982690066
7,Fe__2,-0.03712294754121024,,1.0,7.0,-0.03712294754121024
8,Fe__3,-0.06406357196998269,,1.0,8.0,-0.06406357196998269
9,Fe__4,-0.0992516601870956,,1.0,9.0,-0.0992516601870956
10,Fe__5,-0.12340005004249675,,1.0,10.0,-0.12340005004249675
11,Fe__6,-0.14124526999189171,,1.0,11.0,-0.14124526999189171
12,Cd__1,0.0004977982218551125,,1.0,12.0,0.0004977982218551125
13,Cd__2,0.001027355122435362,,1.0,13.0,0.001027355122435362
14,Cd__3,0.00047597447898483757,,1.0,14.0,0.00047597447898483757
15,Cd__4,0.0018423756541980703,,1.0,15.0,0.0018423756541980703
16,Cd__5,-0.003168226697078429,,1.0,16.0,-0.003168226697078429
17,Cd__6,-0.003014259197061273,,1.0,17.0,-0.003014259197061273
18,Zn__1,0.00367964572833776,,1.0,18.0,0.00367964572833776
19,Zn__2,0.003531751328153293,,1.0,19.0,0.003531751328153293
20,Zn__3,0.014835761823485625,,1.0,20.0,0.014835761823485625
21,Zn__4,0.013156256709906005,,1.0,21.0,0.013156256709906005
22,Zn__5,0.025739716918446967,,1.0,22.0,0.025739716918446967
23,Zn__6,0.04071830209161045,,1.0,23.0,0.04071830209161045
24,Cu__1,-0.0040517842078426885,,1.0,24.0,-0.0040517842078426885
25,Cu__2,-0.00650791016929845,,1.0,25.0,-0.00650791016929845
26,Cu__3,-0.008694339228331285,,1.0,26.0,-0.008694339228331285
27,Cu__4,-0.00859243865016565,,1.0,27.0,-0.00859243865016565
28,Cu__5,-0.00923520805129663,,1.0,28.0,-0.00923520805129663
29,Cu__6,-0.008953605928192436,,1.0,29.0,-0.008953605928192436
30,Pb__1,0.004390850204605857,,1.0,30.0,0.004390850204605857
31,Pb__2,0.013290868221741735,,1.0,31.0,0.013290868221741735
32,Pb__3,0.02005485763233713,,1.0,32.0,0.02005485763233713
33,Pb__4,0.021107932806304814,,1.0,33.0,0.021107932806304814
34,Pb__5,0.01679155387178782,,1.0,34.0,0.01679155387178782
35,Pb__6,0.020903371025498198,,1.0,35.0,0.020903371025498198
