,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.007538112662432609,,1.0,0.0,0.007538112662432609
1,Cr__2,0.0166791640682288,,1.0,1.0,0.0166791640682288
2,Cr__3,0.027505352419716286,,1.0,2.0,0.027505352419716286
3,Cr__4,0.04195133259240008,,1.0,3.0,0.04195133259240008
4,Cr__5,0.050721528835492725,,1.0,4.0,0.050721528835492725
5,Cr__6,0.06834838096197746,,1.0,5.0,0.06834838096197746
6,Fe__1,-0.0360757983948542,,1.0,6.0,-0.0360757983948542
7,Fe__2,-0.10119264898917364,,1.0,7.0,-0.10119264898917364
8,Fe__3,-0.13971039281615502,,1.0,8.0,-0.13971039281615502
9,Fe__4,-0.20377167495546653,,1.0,9.0,-0.20377167495546653
10,Fe__5,-0.22069358405972947,,1.0,10.0,-0.22069358405972947
11,Fe__6,-0.04805244718745735,,1.0,11.0,-0.04805244718745735
12,Cd__1,0.0037538008388923595,,1.0,12.0,0.0037538008388923595
13,Cd__2,0.008656115375882113,,1.0,13.0,0.008656115375882113
14,Cd__3,0.012869464881393431,,1.0,14.0,0.012869464881393431
15,Cd__4,0.016286857079625034,,1.0,15.0,0.016286857079625034
16,Cd__5,0.015249864301347144,,1.0,16.0,0.015249864301347144
17,Cd__6,0.01730598814770513,,1.0,17.0,0.01730598814770513
18,Zn__1,0.005236455660459011,,1.0,18.0,0.005236455660459011
19,Zn__2,0.0038339202577681655,,1.0,19.0,0.0038339202577681655
20,Zn__3,0.2090341273557378,,1.0,20.0,0.2090341273557378
21,Zn__4,0.4013196261816739,,1.0,21.0,0.4013196261816739
22,Zn__5,0.5610809319857719,,1.0,22.0,0.5610809319857719
23,Zn__6,0.6284009661888448,,1.0,23.0,0.6284009661888448
24,Cu__1,0.004546747841684311,,1.0,24.0,0.004546747841684311
25,Cu__2,0.010305564231607512,,1.0,25.0,0.010305564231607512
26,Cu__3,0.02297372942954615,,1.0,26.0,0.02297372942954615
27,Cu__4,0.03746195063202935,,1.0,27.0,0.03746195063202935
28,Cu__5,0.04256786450331061,,1.0,28.0,0.04256786450331061
29,Cu__6,0.04687142034585278,,1.0,29.0,0.04687142034585278
30,Pb__1,0.0019142926536427985,,1.0,30.0,0.0019142926536427985
31,Pb__2,0.005025530423527964,,1.0,31.0,0.005025530423527964
32,Pb__3,0.010338037733270288,,1.0,32.0,0.010338037733270288
33,Pb__4,0.019380989032319013,,1.0,33.0,0.019380989032319013
34,Pb__5,0.04266256631739999,,1.0,34.0,0.04266256631739999
35,Pb__6,0.05593789766488014,,1.0,35.0,0.05593789766488014
