,malI
Cr_1,-0.011950361387119959
Cr_2,-0.01029648826337514
Cr_3,-0.010963387867166982
Cr_4,-0.012320447872991544
Cr_5,-0.01464160365541151
Cr_6,-0.017876346094025386
Fe_1,-0.016827532167823338
Fe_2,-0.03466280795666698
Fe_3,-0.0358633942248438
Fe_4,-0.03318168508632779
Fe_5,-0.031613416897020984
Fe_6,-0.03273038388747943
Cd_1,-0.005299514003441645
Cd_2,-0.0030546233862485755
Cd_3,0.005608495241556092
Cd_4,0.01581346208222626
Cd_5,0.012507581795149757
Cd_6,0.01852286543672698
Zn_1,0.0817832884626568
Zn_2,-0.09054072127860677
Zn_3,-0.12681362341210212
Zn_4,-0.12510222924572836
Zn_5,-0.12565292701086406
Zn_6,-0.11301785406939195
Cu_1,0.015066695949886041
Cu_2,0.02433641551322337
Cu_3,0.03806971926614371
Cu_4,0.058562409764283764
Cu_5,0.0765446260074804
Cu_6,0.09157295997493396
Pb_1,-0.004762701705372206
Pb_2,-0.001198932362732472
Pb_3,0.015855531593082683
Pb_4,0.02772691999469367
Pb_5,0.0317704088280028
Pb_6,0.04151856622049359
