,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.0048418767571863,,1.0,0.0,0.0048418767571863
1,Cr__2,0.009220094684757991,,1.0,1.0,0.009220094684757991
2,Cr__3,0.011465090445385396,,1.0,2.0,0.011465090445385396
3,Cr__4,0.01415053513909464,,1.0,3.0,0.01415053513909464
4,Cr__5,0.014961779250133063,,1.0,4.0,0.014961779250133063
5,Cr__6,0.018999164655437304,,1.0,5.0,0.018999164655437304
6,Fe__1,-0.03034166698131075,,1.0,6.0,-0.03034166698131075
7,Fe__2,-0.04552639659927818,,1.0,7.0,-0.04552639659927818
8,Fe__3,-0.0455213007836351,,1.0,8.0,-0.0455213007836351
9,Fe__4,-0.05000085638948437,,1.0,9.0,-0.05000085638948437
10,Fe__5,-0.04702180975821233,,1.0,10.0,-0.04702180975821233
11,Fe__6,-0.044392861261183296,,1.0,11.0,-0.044392861261183296
12,Cd__1,0.003944681719912431,,1.0,12.0,0.003944681719912431
13,Cd__2,0.009235660175869824,,1.0,13.0,0.009235660175869824
14,Cd__3,0.01449581558810065,,1.0,14.0,0.01449581558810065
15,Cd__4,0.020349434479207132,,1.0,15.0,0.020349434479207132
16,Cd__5,0.018671535623709185,,1.0,16.0,0.018671535623709185
17,Cd__6,0.023792633319624786,,1.0,17.0,0.023792633319624786
18,Zn__1,0.004837071630897782,,1.0,18.0,0.004837071630897782
19,Zn__2,0.0014042946336826597,,1.0,19.0,0.0014042946336826597
20,Zn__3,0.0023612123693557887,,1.0,20.0,0.0023612123693557887
21,Zn__4,0.011665451700197114,,1.0,21.0,0.011665451700197114
22,Zn__5,0.02388307293670188,,1.0,22.0,0.02388307293670188
23,Zn__6,0.02716496255978365,,1.0,23.0,0.02716496255978365
24,Cu__1,-0.008678000861688951,,1.0,24.0,-0.008678000861688951
25,Cu__2,-0.010961246984322735,,1.0,25.0,-0.010961246984322735
26,Cu__3,-0.008090079867529628,,1.0,26.0,-0.008090079867529628
27,Cu__4,-0.00711026040024087,,1.0,27.0,-0.00711026040024087
28,Cu__5,-0.004022185043745195,,1.0,28.0,-0.004022185043745195
29,Cu__6,-0.00234102248211718,,1.0,29.0,-0.00234102248211718
30,Pb__1,0.006427577069082498,,1.0,30.0,0.006427577069082498
31,Pb__2,0.01848812045433607,,1.0,31.0,0.01848812045433607
32,Pb__3,0.011751769714921206,,1.0,32.0,0.011751769714921206
33,Pb__4,0.013890728445812756,,1.0,33.0,0.013890728445812756
34,Pb__5,0.013459110584255906,,1.0,34.0,0.013459110584255906
35,Pb__6,0.01828506084479621,,1.0,35.0,0.01828506084479621
