,mutS
Cr_1,0.009207875467420698
Cr_2,0.012284404702821656
Cr_3,0.02099071255416472
Cr_4,0.03445938171335648
Cr_5,0.04059745926895312
Cr_6,0.04441719727069598
Fe_1,-0.03520097753229394
Fe_2,-0.0432419158616389
Fe_3,-0.02858330064050934
Fe_4,-0.008884858285622927
Fe_5,0.012567760925414236
Fe_6,0.033087238495469386
Cd_1,-0.003329127462879181
Cd_2,-0.008027696129944679
Cd_3,-0.003145010818434382
Cd_4,0.0034420306299658547
Cd_5,0.009095263983242213
Cd_6,0.014873191646214904
Zn_1,-0.052240139138269824
Zn_2,-0.058074847798895636
Zn_3,-0.05248768348786715
Zn_4,-0.030169651316042326
Zn_5,-0.0011902995385172509
Zn_6,0.027555909508724715
Cu_1,0.004290613966710904
Cu_2,0.01710873122419183
Cu_3,0.03302838633049904
Cu_4,0.06352065999893744
Cu_5,0.0909977548315489
Cu_6,0.12258120060634957
Pb_1,-0.005407462789522482
Pb_2,-0.00878875339240251
Pb_3,-0.0010138087730618367
Pb_4,0.03283573517707186
Pb_5,0.025113143202192503
Pb_6,0.05879375723545675
