,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.0026464207829284573,,1.0,0.0,-0.0026464207829284573
1,Cr__2,-0.007571471529954524,,1.0,1.0,-0.007571471529954524
2,Cr__3,0.011389306052596509,,1.0,2.0,0.011389306052596509
3,Cr__4,0.024884254252832267,,1.0,3.0,0.024884254252832267
4,Cr__5,0.03463157226749008,,1.0,4.0,0.03463157226749008
5,Cr__6,0.035593212988288554,,1.0,5.0,0.035593212988288554
6,Fe__1,-0.001435130089489115,,1.0,6.0,-0.001435130089489115
7,Fe__2,-0.0061504615892803705,,1.0,7.0,-0.0061504615892803705
8,Fe__3,-0.007144564485884422,,1.0,8.0,-0.007144564485884422
9,Fe__4,-0.005896186316873529,,1.0,9.0,-0.005896186316873529
10,Fe__5,-0.005633985388587931,,1.0,10.0,-0.005633985388587931
11,Fe__6,-0.003952639107504277,,1.0,11.0,-0.003952639107504277
12,Cd__1,-0.001715464716248607,,1.0,12.0,-0.001715464716248607
13,Cd__2,-0.0001242630590523221,,1.0,13.0,-0.0001242630590523221
14,Cd__3,0.0061938700932250386,,1.0,14.0,0.0061938700932250386
15,Cd__4,0.011358742509332337,,1.0,15.0,0.011358742509332337
16,Cd__5,0.006762348721537583,,1.0,16.0,0.006762348721537583
17,Cd__6,0.011411198825319204,,1.0,17.0,0.011411198825319204
18,Zn__1,-0.0032569314226230392,,1.0,18.0,-0.0032569314226230392
19,Zn__2,0.003244288315904545,,1.0,19.0,0.003244288315904545
20,Zn__3,0.018445006399366904,,1.0,20.0,0.018445006399366904
21,Zn__4,0.037565616000168695,,1.0,21.0,0.037565616000168695
22,Zn__5,0.0607329921491272,,1.0,22.0,0.0607329921491272
23,Zn__6,0.08458671267626251,,1.0,23.0,0.08458671267626251
24,Cu__1,0.0056663245634173244,,1.0,24.0,0.0056663245634173244
25,Cu__2,0.015695118892923524,,1.0,25.0,0.015695118892923524
26,Cu__3,0.016733983622930597,,1.0,26.0,0.016733983622930597
27,Cu__4,0.017371765338606453,,1.0,27.0,0.017371765338606453
28,Cu__5,0.020425767913855357,,1.0,28.0,0.020425767913855357
29,Cu__6,0.027255758415884797,,1.0,29.0,0.027255758415884797
30,Pb__1,0.003789515253320768,,1.0,30.0,0.003789515253320768
31,Pb__2,0.01179686866245238,,1.0,31.0,0.01179686866245238
32,Pb__3,0.017550351606750413,,1.0,32.0,0.017550351606750413
33,Pb__4,0.014208327758761371,,1.0,33.0,0.014208327758761371
34,Pb__5,0.02450707648397026,,1.0,34.0,0.02450707648397026
35,Pb__6,0.03289813380590485,,1.0,35.0,0.03289813380590485
