k,name,in_iM,gene_weight,regulator,function,category
8,Zinc - Fast,False,-0.034394111931323995,,,
6,Iron,False,0.030941225327551364,,,
11,Chromium,False,-0.021702020056545736,,,
7,Zinc - Steady,False,-0.014611469842493532,,,
5,Lead,False,0.011869353745132684,,,
12,Zinc - Intermediate,False,-0.005969899372725063,,,
3,Cadmium,False,-0.005535836392082274,,,
13,UC-6,False,-0.003688018638640642,,,
1,UC-2,False,-0.0019465051451697949,,,
9,UC-5,False,-0.0014255029575040855,,,
4,UC-4,False,0.0013743502192664892,,,
2,UC-3,False,-0.0013656568771693856,,,
14,UC-7,False,-0.0013028702803421766,,,
10,Copper,False,0.0011238065862562508,,,
0,UC-1,False,0.0003779146954184398,,,
