,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.005764871349586356,,1.0,0.0,-0.005764871349586356
1,Cr__2,-0.006779861297520616,,1.0,1.0,-0.006779861297520616
2,Cr__3,-0.007053386280273544,,1.0,2.0,-0.007053386280273544
3,Cr__4,-0.014135589794727288,,1.0,3.0,-0.014135589794727288
4,Cr__5,-0.01621689070579191,,1.0,4.0,-0.01621689070579191
5,Cr__6,-0.018903717611831204,,1.0,5.0,-0.018903717611831204
6,Fe__1,-0.009915905802752782,,1.0,6.0,-0.009915905802752782
7,Fe__2,-0.028717811632724168,,1.0,7.0,-0.028717811632724168
8,Fe__3,-0.04711717598095853,,1.0,8.0,-0.04711717598095853
9,Fe__4,-0.07460720245731522,,1.0,9.0,-0.07460720245731522
10,Fe__5,-0.09528747770791847,,1.0,10.0,-0.09528747770791847
11,Fe__6,-0.10827005796423728,,1.0,11.0,-0.10827005796423728
12,Cd__1,0.0036888402336999267,,1.0,12.0,0.0036888402336999267
13,Cd__2,0.009550062395616891,,1.0,13.0,0.009550062395616891
14,Cd__3,0.015046638896041638,,1.0,14.0,0.015046638896041638
15,Cd__4,0.02065590510155554,,1.0,15.0,0.02065590510155554
16,Cd__5,0.0201853412288694,,1.0,16.0,0.0201853412288694
17,Cd__6,0.027790516856652896,,1.0,17.0,0.027790516856652896
18,Zn__1,-5.18998399032398e-05,,1.0,18.0,-5.18998399032398e-05
19,Zn__2,0.00397819689602232,,1.0,19.0,0.00397819689602232
20,Zn__3,0.02762151433239979,,1.0,20.0,0.02762151433239979
21,Zn__4,0.056465787201899015,,1.0,21.0,0.056465787201899015
22,Zn__5,0.08071430634537102,,1.0,22.0,0.08071430634537102
23,Zn__6,0.09583273447227966,,1.0,23.0,0.09583273447227966
24,Cu__1,0.0030835140919558014,,1.0,24.0,0.0030835140919558014
25,Cu__2,0.0011105236053249338,,1.0,25.0,0.0011105236053249338
26,Cu__3,0.001794096014204689,,1.0,26.0,0.001794096014204689
27,Cu__4,0.004805850771745191,,1.0,27.0,0.004805850771745191
28,Cu__5,0.010180981945853316,,1.0,28.0,0.010180981945853316
29,Cu__6,0.01472688933048989,,1.0,29.0,0.01472688933048989
30,Pb__1,0.004007180749482781,,1.0,30.0,0.004007180749482781
31,Pb__2,0.000985794449044949,,1.0,31.0,0.000985794449044949
32,Pb__3,0.0034237584957455915,,1.0,32.0,0.0034237584957455915
33,Pb__4,0.006045973242282609,,1.0,33.0,0.006045973242282609
34,Pb__5,0.006634436280635903,,1.0,34.0,0.006634436280635903
35,Pb__6,0.009781522881325229,,1.0,35.0,0.009781522881325229
