k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,-0.013745227362960577,,,
3,Cadmium,False,-0.00944817959330976,,,
5,Lead,False,-0.005898821665905415,,,
14,UC-7,False,-0.0037458429741673172,,,
10,Copper,False,-0.003191934518981725,,,
11,Chromium,False,0.0028793054725974802,,,
13,UC-6,False,-0.0026614384702406822,,,
7,Zinc - Steady,False,-0.002242481808643788,,,
12,Zinc - Intermediate,False,0.0013718044726144386,,,
2,UC-3,False,-0.0007121054700110108,,,
8,Zinc - Fast,False,0.0007114055682905018,,,
1,UC-2,False,-0.0004292914367397316,,,
4,UC-4,False,0.00024381833485676908,,,
9,UC-5,False,-0.00018480043849172857,,,
0,UC-1,False,-2.751271982560865e-05,,,
