,pagB
Cr_1,0.0024517623898761315
Cr_2,0.010021056296773072
Cr_3,0.016763915050513712
Cr_4,0.022883129235049503
Cr_5,0.028838370997129412
Cr_6,0.029631953575681845
Fe_1,-0.004526534322558992
Fe_2,-0.012145504348243784
Fe_3,-0.02937642679156662
Fe_4,-0.035475731187370005
Fe_5,-0.04782130679037909
Fe_6,-0.04705271388616405
Cd_1,0.0016678729801744134
Cd_2,0.002914806768754621
Cd_3,0.0038782428672121992
Cd_4,0.009280352769489743
Cd_5,0.010581422038099936
Cd_6,0.017373836375945834
Zn_1,-0.0014574287822266179
Zn_2,0.001216400325256389
Zn_3,0.00559835477302831
Zn_4,0.01469509535491114
Zn_5,0.023909943315119787
Zn_6,0.03196038033877255
Cu_1,0.006474300504780183
Cu_2,0.01538143351132206
Cu_3,0.020876249474731056
Cu_4,0.025134001403789158
Cu_5,0.030331607730410482
Cu_6,0.033885112018415334
Pb_1,0.0027805841944695663
Pb_2,0.012351553983240995
Pb_3,0.019598964137253868
Pb_4,0.0245268770343529
Pb_5,0.03855357532280974
Pb_6,0.04272537995678515
