,pfkB
Cr_1,0.002464521367397752
Cr_2,0.007023322523651367
Cr_3,0.011847223894780932
Cr_4,0.017475482158918455
Cr_5,0.01886158600157361
Cr_6,0.016442504110610722
Fe_1,-0.011015204558432138
Fe_2,-0.03562098522111582
Fe_3,-0.06621991464234253
Fe_4,-0.10627101884402797
Fe_5,-0.13922678006492425
Fe_6,-0.1633574988705787
Cd_1,0.00182555221829844
Cd_2,0.003868848750575207
Cd_3,0.005453200722751331
Cd_4,0.0069593525554534795
Cd_5,0.0038651152784994008
Cd_6,0.008384668745471056
Zn_1,-0.0008139216499739973
Zn_2,0.0025924168427386325
Zn_3,0.013489036343834412
Zn_4,0.02505197086932771
Zn_5,0.03489225084731936
Zn_6,0.04404703548399936
Cu_1,0.0012608541690282125
Cu_2,0.0035463529209840096
Cu_3,0.002724860394219928
Cu_4,0.0006887143008651707
Cu_5,-0.003134488695986471
Cu_6,-0.001020938639466534
Pb_1,0.0036942650090942015
Pb_2,0.008349703381868108
Pb_3,0.015147773592839947
Pb_4,0.02142708707846673
Pb_5,0.02597044749156719
Pb_6,0.028422303025168162
