,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.00421959215548685,,1.0,0.0,0.00421959215548685
1,Cr__2,0.01472716450550751,,1.0,1.0,0.01472716450550751
2,Cr__3,0.027284172730630125,,1.0,2.0,0.027284172730630125
3,Cr__4,0.041769058514811816,,1.0,3.0,0.041769058514811816
4,Cr__5,0.05806928975870365,,1.0,4.0,0.05806928975870365
5,Cr__6,0.07175994144028346,,1.0,5.0,0.07175994144028346
6,Fe__1,-0.00957996631058983,,1.0,6.0,-0.00957996631058983
7,Fe__2,-0.03314530165913891,,1.0,7.0,-0.03314530165913891
8,Fe__3,-0.0644524340382072,,1.0,8.0,-0.0644524340382072
9,Fe__4,-0.10367417009392056,,1.0,9.0,-0.10367417009392056
10,Fe__5,-0.1368784363679358,,1.0,10.0,-0.1368784363679358
11,Fe__6,-0.15997359310484122,,1.0,11.0,-0.15997359310484122
12,Cd__1,-0.0012648367424848994,,1.0,12.0,-0.0012648367424848994
13,Cd__2,-0.0016347441148063804,,1.0,13.0,-0.0016347441148063804
14,Cd__3,-0.004666934136859989,,1.0,14.0,-0.004666934136859989
15,Cd__4,-0.005513203105475879,,1.0,15.0,-0.005513203105475879
16,Cd__5,-0.012100836951188016,,1.0,16.0,-0.012100836951188016
17,Cd__6,-0.012383240830000274,,1.0,17.0,-0.012383240830000274
18,Zn__1,-0.007239507782274384,,1.0,18.0,-0.007239507782274384
19,Zn__2,-0.016056765892169866,,1.0,19.0,-0.016056765892169866
20,Zn__3,-0.0131705976901337,,1.0,20.0,-0.0131705976901337
21,Zn__4,-0.007671297312088919,,1.0,21.0,-0.007671297312088919
22,Zn__5,-0.0107308065899415,,1.0,22.0,-0.0107308065899415
23,Zn__6,-0.01709597673904087,,1.0,23.0,-0.01709597673904087
24,Cu__1,0.003619041304303253,,1.0,24.0,0.003619041304303253
25,Cu__2,0.007389473758553506,,1.0,25.0,0.007389473758553506
26,Cu__3,0.009412144619759458,,1.0,26.0,0.009412144619759458
27,Cu__4,0.013014492894446537,,1.0,27.0,0.013014492894446537
28,Cu__5,0.02091097488128325,,1.0,28.0,0.02091097488128325
29,Cu__6,0.03331348717273607,,1.0,29.0,0.03331348717273607
30,Pb__1,0.007100945760324552,,1.0,30.0,0.007100945760324552
31,Pb__2,0.014216321142904324,,1.0,31.0,0.014216321142904324
32,Pb__3,0.02222041380960916,,1.0,32.0,0.02222041380960916
33,Pb__4,0.034096698003913364,,1.0,33.0,0.034096698003913364
34,Pb__5,0.03974846895203938,,1.0,34.0,0.03974846895203938
35,Pb__6,0.046356147106695715,,1.0,35.0,0.046356147106695715
