,phoB
Cr_1,-0.0014742271988485436
Cr_2,-0.004331236671015991
Cr_3,0.01757194946299264
Cr_4,0.033917351719169604
Cr_5,0.03313012263398906
Cr_6,0.02368518430403626
Fe_1,0.012350757037551277
Fe_2,0.36361046596232016
Fe_3,0.9004024328835101
Fe_4,1.267016351740868
Fe_5,1.4896068597524952
Fe_6,1.6367728838496691
Cd_1,-0.01114921356808646
Cd_2,-0.0377028563355292
Cd_3,-0.03496814608750375
Cd_4,-0.01811204858826332
Cd_5,-0.01055335417425208
Cd_6,0.017611607785708125
Zn_1,0.01022422325530277
Zn_2,0.02878497303778943
Zn_3,0.043806297856449086
Zn_4,0.07271279501214252
Zn_5,0.09895745340436836
Zn_6,0.12779555453938338
Cu_1,0.007429055557843387
Cu_2,0.007805786730818458
Cu_3,0.02020720419651766
Cu_4,0.046493029387994926
Cu_5,0.07951698072162616
Cu_6,0.10104735089952922
Pb_1,-0.006179526255652083
Pb_2,0.010159142630968166
Pb_3,0.020020378248004112
Pb_4,-0.0024077610037743576
Pb_5,-0.012298239848864993
Pb_6,-0.018444141023146086
