k,name,in_iM,gene_weight,regulator,function,category
10,Copper,False,-0.011242272891104221,,,
5,Lead,False,-0.005969657124951482,,,
4,UC-4,False,-0.005487029342912137,,,
6,Iron,False,0.005208377982489765,,,
14,UC-7,False,-0.003451726625207812,,,
11,Chromium,False,-0.0033958488679490984,,,
8,Zinc - Fast,False,0.0019780859095044428,,,
7,Zinc - Steady,False,0.0019054906920064239,,,
2,UC-3,False,-0.0014123185712378473,,,
9,UC-5,False,0.00038840320187127117,,,
12,Zinc - Intermediate,False,-0.0003614145888747432,,,
13,UC-6,False,0.00033375494997017085,,,
1,UC-2,False,-0.0002593891747528687,,,
0,UC-1,False,0.00024361512361792848,,,
3,Cadmium,False,0.00019126745391986327,,,
