k,name,in_iM,gene_weight,regulator,function,category
5,Lead,False,-0.02440252499654889,,,
7,Zinc - Steady,False,-0.01777414860203862,,,
10,Copper,False,-0.011849094228819013,,,
6,Iron,False,-0.008233307003974916,,,
14,UC-7,False,-0.00656499404925853,,,
11,Chromium,False,-0.004641308425925672,,,
1,UC-2,False,0.0045671865763142715,,,
13,UC-6,False,0.0038822087924927475,,,
4,UC-4,False,-0.0036728250165469945,,,
3,Cadmium,False,-0.0029648178420029576,,,
12,Zinc - Intermediate,False,0.0027326832529639892,,,
0,UC-1,False,-0.0015814839152153582,,,
8,Zinc - Fast,False,-0.0009498596243793145,,,
2,UC-3,False,0.0007706618146039546,,,
9,UC-5,False,-0.0007394647456464324,,,
