,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.001466601895002286,,1.0,0.0,0.001466601895002286
1,Cr__2,0.00481490290015588,,1.0,1.0,0.00481490290015588
2,Cr__3,0.012989709446030529,,1.0,2.0,0.012989709446030529
3,Cr__4,0.01992122151245129,,1.0,3.0,0.01992122151245129
4,Cr__5,0.01850087955298257,,1.0,4.0,0.01850087955298257
5,Cr__6,0.015293196860881838,,1.0,5.0,0.015293196860881838
6,Fe__1,-0.014601102247201844,,1.0,6.0,-0.014601102247201844
7,Fe__2,-0.03235977617464966,,1.0,7.0,-0.03235977617464966
8,Fe__3,-0.045867277550689485,,1.0,8.0,-0.045867277550689485
9,Fe__4,-0.06538065995866198,,1.0,9.0,-0.06538065995866198
10,Fe__5,-0.08954879612877538,,1.0,10.0,-0.08954879612877538
11,Fe__6,-0.10726853523008488,,1.0,11.0,-0.10726853523008488
12,Cd__1,0.002123566897902374,,1.0,12.0,0.002123566897902374
13,Cd__2,0.0012033851177405653,,1.0,13.0,0.0012033851177405653
14,Cd__3,0.0001045309158516162,,1.0,14.0,0.0001045309158516162
15,Cd__4,-0.005213714042274114,,1.0,15.0,-0.005213714042274114
16,Cd__5,-0.01143889206887312,,1.0,16.0,-0.01143889206887312
17,Cd__6,-0.0109853004512846,,1.0,17.0,-0.0109853004512846
18,Zn__1,-0.00044446406341091746,,1.0,18.0,-0.00044446406341091746
19,Zn__2,0.004338842873591222,,1.0,19.0,0.004338842873591222
20,Zn__3,0.013131160620978459,,1.0,20.0,0.013131160620978459
21,Zn__4,0.0188973603627266,,1.0,21.0,0.0188973603627266
22,Zn__5,0.016521153934023,,1.0,22.0,0.016521153934023
23,Zn__6,0.00853311922138683,,1.0,23.0,0.00853311922138683
24,Cu__1,0.004510338668864315,,1.0,24.0,0.004510338668864315
25,Cu__2,0.005356286140949618,,1.0,25.0,0.005356286140949618
26,Cu__3,0.011495873196226003,,1.0,26.0,0.011495873196226003
27,Cu__4,0.016840215213631354,,1.0,27.0,0.016840215213631354
28,Cu__5,0.022833048570584248,,1.0,28.0,0.022833048570584248
29,Cu__6,0.02836529538889675,,1.0,29.0,0.02836529538889675
30,Pb__1,0.0038186836537104038,,1.0,30.0,0.0038186836537104038
31,Pb__2,0.0014882421076622956,,1.0,31.0,0.0014882421076622956
32,Pb__3,0.00814274649705958,,1.0,32.0,0.00814274649705958
33,Pb__4,0.01624453134571938,,1.0,33.0,0.01624453134571938
34,Pb__5,0.017309660759878283,,1.0,34.0,0.017309660759878283
35,Pb__6,0.01962512554932342,,1.0,35.0,0.01962512554932342
