k,name,in_iM,gene_weight,regulator,function,category
14,UC-7,False,0.31040766954421994,,,
10,Copper,False,0.10381461188197136,,,
6,Iron,False,-0.02427430622279644,,,
5,Lead,False,0.0106233439873904,,,
3,Cadmium,False,0.010294935517013071,,,
13,UC-6,False,-0.008288453305140138,,,
11,Chromium,False,-0.006964670177549124,,,
7,Zinc - Steady,False,-0.006517116939648986,,,
1,UC-2,False,0.005766741768456996,,,
0,UC-1,False,0.0027455927594564854,,,
8,Zinc - Fast,False,-0.0017673891782760622,,,
4,UC-4,False,0.0011876559676602485,,,
2,UC-3,False,0.0011754870600998405,,,
9,UC-5,False,0.0011082873293984095,,,
12,Zinc - Intermediate,False,-0.0006874553562694753,,,
