k,name,in_iM,gene_weight,regulator,function,category
5,Lead,False,-0.012527062827721236,,,
6,Iron,False,0.007537226937711239,,,
10,Copper,False,-0.0053136938624084,,,
7,Zinc - Steady,False,-0.004852973520755768,,,
3,Cadmium,False,0.003983381679281592,,,
11,Chromium,False,0.0028294271812774247,,,
14,UC-7,False,-0.0026424521836452193,,,
4,UC-4,False,0.002234779768623412,,,
12,Zinc - Intermediate,False,0.001759603311004768,,,
1,UC-2,False,0.0016885364579502494,,,
13,UC-6,False,-0.001321537153562531,,,
0,UC-1,False,-0.001304890918545425,,,
2,UC-3,False,-0.001002840257715434,,,
8,Zinc - Fast,False,0.0008322491368744523,,,
9,UC-5,False,-0.0007427572160263864,,,
