,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.00418387326835638,,1.0,0.0,0.00418387326835638
1,Cr__2,0.010866124881830265,,1.0,1.0,0.010866124881830265
2,Cr__3,0.01896006453642057,,1.0,2.0,0.01896006453642057
3,Cr__4,0.022777906479575973,,1.0,3.0,0.022777906479575973
4,Cr__5,0.022510072209206717,,1.0,4.0,0.022510072209206717
5,Cr__6,0.020336560951059453,,1.0,5.0,0.020336560951059453
6,Fe__1,-0.00898960574291512,,1.0,6.0,-0.00898960574291512
7,Fe__2,-0.021345669141762412,,1.0,7.0,-0.021345669141762412
8,Fe__3,-0.02457730411663196,,1.0,8.0,-0.02457730411663196
9,Fe__4,-0.03135417350612668,,1.0,9.0,-0.03135417350612668
10,Fe__5,-0.03636649480466128,,1.0,10.0,-0.03636649480466128
11,Fe__6,-0.03527997122483326,,1.0,11.0,-0.03527997122483326
12,Cd__1,0.0011137251364939068,,1.0,12.0,0.0011137251364939068
13,Cd__2,0.004090514187102518,,1.0,13.0,0.004090514187102518
14,Cd__3,0.010030924816529169,,1.0,14.0,0.010030924816529169
15,Cd__4,0.013643741486113845,,1.0,15.0,0.013643741486113845
16,Cd__5,0.01157627025232728,,1.0,16.0,0.01157627025232728
17,Cd__6,0.015629415638911782,,1.0,17.0,0.015629415638911782
18,Zn__1,0.007939252609398463,,1.0,18.0,0.007939252609398463
19,Zn__2,0.01358896528790473,,1.0,19.0,0.01358896528790473
20,Zn__3,0.02459190186809471,,1.0,20.0,0.02459190186809471
21,Zn__4,0.03588989201417014,,1.0,21.0,0.03588989201417014
22,Zn__5,0.046085614580679016,,1.0,22.0,0.046085614580679016
23,Zn__6,0.0551009094255522,,1.0,23.0,0.0551009094255522
24,Cu__1,0.011063595836301158,,1.0,24.0,0.011063595836301158
25,Cu__2,0.0222020982460238,,1.0,25.0,0.0222020982460238
26,Cu__3,0.035353559054714184,,1.0,26.0,0.035353559054714184
27,Cu__4,0.04384798329281495,,1.0,27.0,0.04384798329281495
28,Cu__5,0.05536004838251828,,1.0,28.0,0.05536004838251828
29,Cu__6,0.06772086823547321,,1.0,29.0,0.06772086823547321
30,Pb__1,0.002903967910926382,,1.0,30.0,0.002903967910926382
31,Pb__2,0.012387754847316064,,1.0,31.0,0.012387754847316064
32,Pb__3,0.02482839243746361,,1.0,32.0,0.02482839243746361
33,Pb__4,0.0397806897462202,,1.0,33.0,0.0397806897462202
34,Pb__5,0.05380516077166427,,1.0,34.0,0.05380516077166427
35,Pb__6,0.07327489809363391,,1.0,35.0,0.07327489809363391
