,rimJ
Cr_1,0.0009090677124351568
Cr_2,0.007255065857058875
Cr_3,0.00824796556167273
Cr_4,0.014297745010330772
Cr_5,0.019866519412350268
Cr_6,0.024609304776865376
Fe_1,-0.03259709499812929
Fe_2,-0.062314636228603226
Fe_3,-0.07943484434159202
Fe_4,-0.09274666480159144
Fe_5,-0.10006921263177204
Fe_6,-0.08717007064794258
Cd_1,-3.884869026001626e-05
Cd_2,0.004143953322195189
Cd_3,0.013504785550707743
Cd_4,0.022502925208357262
Cd_5,0.03032143596258796
Cd_6,0.033879843923481444
Zn_1,-0.1275108779531961
Zn_2,-0.15271491546042626
Zn_3,-0.1759250618443194
Zn_4,-0.1667100762723589
Zn_5,-0.1603046215127052
Zn_6,-0.14954343140412402
Cu_1,0.0028847818968253513
Cu_2,0.010739906661013869
Cu_3,0.030289466345214983
Cu_4,0.04152226403417481
Cu_5,0.031370383729550734
Cu_6,0.031040309008083862
Pb_1,0.011036937837424916
Pb_2,0.005071031705934083
Pb_3,-0.00734063632142045
Pb_4,-0.004063517392532445
Pb_5,0.01293959582435308
Pb_6,0.026787605002225
