,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.00039697689581329925,,1.0,0.0,-0.00039697689581329925
1,Cr__2,-0.0008666920526452934,,1.0,1.0,-0.0008666920526452934
2,Cr__3,-0.0013938502670375248,,1.0,2.0,-0.0013938502670375248
3,Cr__4,-0.001932074208472593,,1.0,3.0,-0.001932074208472593
4,Cr__5,-0.0016251641807436435,,1.0,4.0,-0.0016251641807436435
5,Cr__6,-0.0022463661118446434,,1.0,5.0,-0.0022463661118446434
6,Fe__1,-0.002701711857300751,,1.0,6.0,-0.002701711857300751
7,Fe__2,-0.013485443743210037,,1.0,7.0,-0.013485443743210037
8,Fe__3,-0.02831996586995212,,1.0,8.0,-0.02831996586995212
9,Fe__4,-0.04365251167072739,,1.0,9.0,-0.04365251167072739
10,Fe__5,-0.05419459665750117,,1.0,10.0,-0.05419459665750117
11,Fe__6,-0.06048715222825012,,1.0,11.0,-0.06048715222825012
12,Cd__1,0.0014711263278475994,,1.0,12.0,0.0014711263278475994
13,Cd__2,0.0002449323714064496,,1.0,13.0,0.0002449323714064496
14,Cd__3,0.00016513267651674336,,1.0,14.0,0.00016513267651674336
15,Cd__4,0.00020167367901973208,,1.0,15.0,0.00020167367901973208
16,Cd__5,0.00046963728536019637,,1.0,16.0,0.00046963728536019637
17,Cd__6,0.0005886584043465848,,1.0,17.0,0.0005886584043465848
18,Zn__1,-0.00359191166819356,,1.0,18.0,-0.00359191166819356
19,Zn__2,-0.015036266284469402,,1.0,19.0,-0.015036266284469402
20,Zn__3,-0.02406495729177359,,1.0,20.0,-0.02406495729177359
21,Zn__4,-0.03227321426557378,,1.0,21.0,-0.03227321426557378
22,Zn__5,-0.03887655800575217,,1.0,22.0,-0.03887655800575217
23,Zn__6,-0.04483889611206187,,1.0,23.0,-0.04483889611206187
24,Cu__1,0.004879044701085333,,1.0,24.0,0.004879044701085333
25,Cu__2,0.011022744379125569,,1.0,25.0,0.011022744379125569
26,Cu__3,0.012622414851793013,,1.0,26.0,0.012622414851793013
27,Cu__4,0.009785366089988964,,1.0,27.0,0.009785366089988964
28,Cu__5,0.007926439978226658,,1.0,28.0,0.007926439978226658
29,Cu__6,0.0077864599436114346,,1.0,29.0,0.0077864599436114346
30,Pb__1,-0.0010778719220575638,,1.0,30.0,-0.0010778719220575638
31,Pb__2,-0.03169010215302557,,1.0,31.0,-0.03169010215302557
32,Pb__3,-0.06732579116362604,,1.0,32.0,-0.06732579116362604
33,Pb__4,-0.10240910040423233,,1.0,33.0,-0.10240910040423233
34,Pb__5,-0.13402758315481378,,1.0,34.0,-0.13402758315481378
35,Pb__6,-0.1564431106915387,,1.0,35.0,-0.1564431106915387
