,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.0029450350587200244,,1.0,0.0,-0.0029450350587200244
1,Cr__2,0.0013627924418900164,,1.0,1.0,0.0013627924418900164
2,Cr__3,0.017371663237826282,,1.0,2.0,0.017371663237826282
3,Cr__4,0.032397897064829026,,1.0,3.0,0.032397897064829026
4,Cr__5,0.047532195587575536,,1.0,4.0,0.047532195587575536
5,Cr__6,0.05550411385109731,,1.0,5.0,0.05550411385109731
6,Fe__1,-0.006703881325730034,,1.0,6.0,-0.006703881325730034
7,Fe__2,-0.0225674458554975,,1.0,7.0,-0.0225674458554975
8,Fe__3,-0.0456905638632437,,1.0,8.0,-0.0456905638632437
9,Fe__4,-0.07787678990786807,,1.0,9.0,-0.07787678990786807
10,Fe__5,-0.10318408419602708,,1.0,10.0,-0.10318408419602708
11,Fe__6,-0.13154998339421098,,1.0,11.0,-0.13154998339421098
12,Cd__1,0.004368621570779401,,1.0,12.0,0.004368621570779401
13,Cd__2,0.011031572504835314,,1.0,13.0,0.011031572504835314
14,Cd__3,0.01865727190122809,,1.0,14.0,0.01865727190122809
15,Cd__4,0.02652291065716731,,1.0,15.0,0.02652291065716731
16,Cd__5,0.030981348781457307,,1.0,16.0,0.030981348781457307
17,Cd__6,0.044806990714551284,,1.0,17.0,0.044806990714551284
18,Zn__1,-0.0022391827681059644,,1.0,18.0,-0.0022391827681059644
19,Zn__2,0.006341341632297747,,1.0,19.0,0.006341341632297747
20,Zn__3,0.01827840422567536,,1.0,20.0,0.01827840422567536
21,Zn__4,0.03274638850428237,,1.0,21.0,0.03274638850428237
22,Zn__5,0.04647582514246475,,1.0,22.0,0.04647582514246475
23,Zn__6,0.05912646634616036,,1.0,23.0,0.05912646634616036
24,Cu__1,0.0048356077726130755,,1.0,24.0,0.0048356077726130755
25,Cu__2,0.00916880678132078,,1.0,25.0,0.00916880678132078
26,Cu__3,0.011816308216550804,,1.0,26.0,0.011816308216550804
27,Cu__4,0.013391481270815232,,1.0,27.0,0.013391481270815232
28,Cu__5,0.01660702253678738,,1.0,28.0,0.01660702253678738
29,Cu__6,0.019726525669454303,,1.0,29.0,0.019726525669454303
30,Pb__1,0.011666376161486395,,1.0,30.0,0.011666376161486395
31,Pb__2,0.02086405113743276,,1.0,31.0,0.02086405113743276
32,Pb__3,0.04257590530942788,,1.0,32.0,0.04257590530942788
33,Pb__4,0.06033738841699099,,1.0,33.0,0.06033738841699099
34,Pb__5,0.0732910027033223,,1.0,34.0,0.0732910027033223
35,Pb__6,0.09338140892290864,,1.0,35.0,0.09338140892290864
