,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,-0.00640550644397276,,1.0,0.0,-0.00640550644397276
1,Cr__2,-0.0039686486186985975,,1.0,1.0,-0.0039686486186985975
2,Cr__3,-0.003851610420724735,,1.0,2.0,-0.003851610420724735
3,Cr__4,0.0014762760837882935,,1.0,3.0,0.0014762760837882935
4,Cr__5,0.009004757105116902,,1.0,4.0,0.009004757105116902
5,Cr__6,0.014705346084588929,,1.0,5.0,0.014705346084588929
6,Fe__1,-0.015113424556022074,,1.0,6.0,-0.015113424556022074
7,Fe__2,-0.0310327451628114,,1.0,7.0,-0.0310327451628114
8,Fe__3,-0.029071293306173838,,1.0,8.0,-0.029071293306173838
9,Fe__4,-0.015445434678490768,,1.0,9.0,-0.015445434678490768
10,Fe__5,0.015400006798178968,,1.0,10.0,0.015400006798178968
11,Fe__6,0.045014700420020974,,1.0,11.0,0.045014700420020974
12,Cd__1,0.008510441667975245,,1.0,12.0,0.008510441667975245
13,Cd__2,0.016954865393776008,,1.0,13.0,0.016954865393776008
14,Cd__3,0.02278693653675509,,1.0,14.0,0.02278693653675509
15,Cd__4,0.02950654897912989,,1.0,15.0,0.02950654897912989
16,Cd__5,0.03514586579190139,,1.0,16.0,0.03514586579190139
17,Cd__6,0.04510597431389631,,1.0,17.0,0.04510597431389631
18,Zn__1,-0.019279068832626416,,1.0,18.0,-0.019279068832626416
19,Zn__2,-0.028906397687478224,,1.0,19.0,-0.028906397687478224
20,Zn__3,-0.031002450393832537,,1.0,20.0,-0.031002450393832537
21,Zn__4,-0.03876371433692858,,1.0,21.0,-0.03876371433692858
22,Zn__5,-0.03528365649650314,,1.0,22.0,-0.03528365649650314
23,Zn__6,-0.029991111939238143,,1.0,23.0,-0.029991111939238143
24,Cu__1,0.0057329661810780795,,1.0,24.0,0.0057329661810780795
25,Cu__2,0.0046799165529678045,,1.0,25.0,0.0046799165529678045
26,Cu__3,0.0020794383052469127,,1.0,26.0,0.0020794383052469127
27,Cu__4,0.000888880738718665,,1.0,27.0,0.000888880738718665
28,Cu__5,0.0003795599239488589,,1.0,28.0,0.0003795599239488589
29,Cu__6,0.0004112925188732753,,1.0,29.0,0.0004112925188732753
30,Pb__1,0.006388303649730389,,1.0,30.0,0.006388303649730389
31,Pb__2,0.008625069174300344,,1.0,31.0,0.008625069174300344
32,Pb__3,0.014121245345969154,,1.0,32.0,0.014121245345969154
33,Pb__4,0.011000785663082891,,1.0,33.0,0.011000785663082891
34,Pb__5,0.011014654359457459,,1.0,34.0,0.011014654359457459
35,Pb__6,0.007408467195348291,,1.0,35.0,0.007408467195348291
