,tesB
Cr_1,0.004908668014886139
Cr_2,0.012239041484106572
Cr_3,0.018231130315737323
Cr_4,0.020778213964723964
Cr_5,0.017209058621749374
Cr_6,0.023928994797954038
Fe_1,-0.014302905563339526
Fe_2,-0.04021570014787592
Fe_3,-0.06483883104405548
Fe_4,-0.07849046339069868
Fe_5,-0.09323008590536802
Fe_6,-0.10468203608871612
Cd_1,0.0019376191093836328
Cd_2,0.009485427351227245
Cd_3,0.020394860869795584
Cd_4,0.028848899946114462
Cd_5,0.02548208575846355
Cd_6,0.031918932132732496
Zn_1,-0.026957792519744502
Zn_2,-0.039698419690928036
Zn_3,-0.036024142601835236
Zn_4,-0.013014159692749251
Zn_5,-0.0041702742235041395
Zn_6,0.014667931470723532
Cu_1,0.006269344731799459
Cu_2,0.019796407961089158
Cu_3,0.028336766104858708
Cu_4,0.03414989206543385
Cu_5,0.04683584487745323
Cu_6,0.056737390047850576
Pb_1,0.007390924589427469
Pb_2,0.0196901191020032
Pb_3,0.03037382694523795
Pb_4,0.04961744759162925
Pb_5,0.0650476291739667
Pb_6,0.08162704698261196
