k,name,in_iM,gene_weight,regulator,function,category
3,Cadmium,False,-0.006942641623318195,,,
6,Iron,False,0.005757725648581982,,,
10,Copper,False,-0.003964898409321904,,,
0,UC-1,False,-0.003317358628846705,,,
2,UC-3,False,-0.002877260793466121,,,
4,UC-4,False,0.0022620136151090264,,,
1,UC-2,False,0.002213135759811849,,,
13,UC-6,False,-0.0019301292975433173,,,
11,Chromium,False,0.001538581020431593,,,
14,UC-7,False,0.0015249087451957167,,,
8,Zinc - Fast,False,0.0014752916060388089,,,
9,UC-5,False,-0.0008566822977287763,,,
5,Lead,False,-0.0007468047935981304,,,
7,Zinc - Steady,False,0.00025623122866818453,,,
12,Zinc - Intermediate,False,0.000117647660879329,,,
