,condition,X_avg,X_std,n,rep1_idx,rep1_X
0,Cr__1,0.002049670093531759,,1.0,0.0,0.002049670093531759
1,Cr__2,0.006290905702394872,,1.0,1.0,0.006290905702394872
2,Cr__3,0.010486820659298363,,1.0,2.0,0.010486820659298363
3,Cr__4,0.013339104706678305,,1.0,3.0,0.013339104706678305
4,Cr__5,0.01588139192790466,,1.0,4.0,0.01588139192790466
5,Cr__6,0.017936533125910006,,1.0,5.0,0.017936533125910006
6,Fe__1,-0.003466616550872369,,1.0,6.0,-0.003466616550872369
7,Fe__2,-0.009217964067330204,,1.0,7.0,-0.009217964067330204
8,Fe__3,-0.014309200032968431,,1.0,8.0,-0.014309200032968431
9,Fe__4,-0.02831837283843365,,1.0,9.0,-0.02831837283843365
10,Fe__5,-0.03639203033012452,,1.0,10.0,-0.03639203033012452
11,Fe__6,-0.04490711831576096,,1.0,11.0,-0.04490711831576096
12,Cd__1,-0.0031703865937738177,,1.0,12.0,-0.0031703865937738177
13,Cd__2,-0.00455596554814925,,1.0,13.0,-0.00455596554814925
14,Cd__3,-0.007030122142867031,,1.0,14.0,-0.007030122142867031
15,Cd__4,-0.009727203647174084,,1.0,15.0,-0.009727203647174084
16,Cd__5,-0.016404874907468187,,1.0,16.0,-0.016404874907468187
17,Cd__6,-0.016123508426560334,,1.0,17.0,-0.016123508426560334
18,Zn__1,-0.0030108479793946,,1.0,18.0,-0.0030108479793946
19,Zn__2,0.0005411427870899184,,1.0,19.0,0.0005411427870899184
20,Zn__3,0.016702578135392103,,1.0,20.0,0.016702578135392103
21,Zn__4,0.04187005312834062,,1.0,21.0,0.04187005312834062
22,Zn__5,0.06918088584163856,,1.0,22.0,0.06918088584163856
23,Zn__6,0.09419021619282084,,1.0,23.0,0.09419021619282084
24,Cu__1,0.0049763763636423855,,1.0,24.0,0.0049763763636423855
25,Cu__2,0.009579626732994841,,1.0,25.0,0.009579626732994841
26,Cu__3,0.01297467551159767,,1.0,26.0,0.01297467551159767
27,Cu__4,0.013729539719165379,,1.0,27.0,0.013729539719165379
28,Cu__5,0.01831948405762567,,1.0,28.0,0.01831948405762567
29,Cu__6,0.02343303110659248,,1.0,29.0,0.02343303110659248
30,Pb__1,-0.0009329485499088882,,1.0,30.0,-0.0009329485499088882
31,Pb__2,-0.0012526517932950991,,1.0,31.0,-0.0012526517932950991
32,Pb__3,0.005437105099965651,,1.0,32.0,0.005437105099965651
33,Pb__4,0.014269096834434334,,1.0,33.0,0.014269096834434334
34,Pb__5,0.025248689348587133,,1.0,34.0,0.025248689348587133
35,Pb__6,0.04142004308460866,,1.0,35.0,0.04142004308460866
