,ubiF
Cr_1,0.006864393252548154
Cr_2,0.009970215319950484
Cr_3,0.02093146596869636
Cr_4,0.028679091277114682
Cr_5,0.03134493114837218
Cr_6,0.034088832259429935
Fe_1,-0.013069467922045571
Fe_2,-0.03269014357952451
Fe_3,-0.04900356585133407
Fe_4,-0.05992931754336375
Fe_5,-0.0675033874188451
Fe_6,-0.07098820607999877
Cd_1,0.00019649220947428749
Cd_2,0.005540650512831108
Cd_3,0.008132585655932213
Cd_4,0.008285013053256091
Cd_5,0.004095140401957353
Cd_6,0.002796652138623064
Zn_1,0.0013169133133692234
Zn_2,0.0019124578522107195
Zn_3,0.0085918261874127
Zn_4,0.015052578219232553
Zn_5,0.020138590653061998
Zn_6,0.023647539531771
Cu_1,0.0046849590671183
Cu_2,0.009035205295592671
Cu_3,0.01725725391034515
Cu_4,0.023477739097525818
Cu_5,0.03193068447266335
Cu_6,0.04023361832449747
Pb_1,0.006682084103020154
Pb_2,0.014257276791292134
Pb_3,0.024914343121344763
Pb_4,0.02784964327228764
Pb_5,0.03336649627302839
Pb_6,0.045949152856185775
